Incident Number,Cause number,Cause Description,Cause type,Risk Management Cause,Human Factors  Cause, Failed PSM Framework Element
CP-57D88C9DD8,1,"The probable cause of this incident was possible mechanical swing gear bolt failure as a result of exceeding the crane's load capacity for the specific angle and distance. The load limit at an angle of 47.1 degrees was 11,971 pounds and the approximate weight of the 7-5/8"" casing being lifted was 22,230 pounds.",Immediate,,,
CP-57D88C9DD8,2,"Although the crane operator was qualified, he lacked actual operational time on this crane type and the boom angle was not considered during the lift.",Underlying,,,
CP-9D63C7E5D6,1,Flange connection released from the vice due to excessive force applied and improper body positioning within the line of fire.,Immediate,,,
CP-AF101CEEE5,1,The structural beams being cut and not returned,Immediate,,,
CP-AF101CEEE5,2,The hatch cover not being secured in place.,Underlying,,,
CP-AF101CEEE5,3,Lack of on site supervision.,Root,,,
CP-9F92249E10,1,failures and leaks of the MC the UTH may have accelerated the,Immediate,,,
CP-28BCE26628,1,Crane Operator did not lower the D-ring low enough for the Riggers to unhook from main - deck. - It was found that Crane Operator had not been involved in the Job Safety Analysis prior to the job. - No Stop Work Authority was exercised when crew knew Crane Operator had not been involved in the Job Safety Analysis review. - After the incident Company Representative did not exercise Stop Work Authority. - No communication between rigging crew. - CTU supervisor was not wearing the proper Personal Protective Equipment at the time of - incident. -,Immediate,,,
CP-C7C9B9694D,1,"Based on the investigation findings and analysis of the telescopic joint, the probable causes of the incident were attributed to the following: 1) failure of the Upper Split Insert Wiper Seal (SIWS) and 2) debonding failure in the Upper Slip Joint Packer.",Immediate,,,
CP-23ED7A0BF3,1,A cleaning crew inadvertently bumped one of the heater treater's drain valves open allowing approximately one bbl of oil to drain to the overboard line and into the GOM.,Immediate,,,
CP-23ED7A0BF3,2,"A contibuting cause of the spill was that a water polishing unit had been recently taken out of service. The original design / installation had the heater treater manual drain line connected upstream of the water polishing unit so that fluids would be properly treated when draining the bottoms from the heater treater. After, the water polishing unit was taken out of service, the heater treater manual drain line was piped directly to the skimmer's overboard line.",Underlying,,,
CP-215260714B,1,The BSEE incident investigation team determined that the probable cause of the incident was due to improper hand placement on the CTLF main wench static line as the wireline valve assembly was being hoisted for installation.,Immediate,,,
CP-215260714B,2,"BSEE’s investigation into this incident identified the following contributing causes: inadequate pre-job preparation and job hazardous analysis failed to recognize specific pinch points during CTLF main wench lifting operations; 2) the CTLF main wench lifting operational procedures had insufficient engineering controls in place to stabilize the wireline valve assembly from striking the CTLF; 3) the design of the CTLF created clearance problems when lifting a wireline valve assembly; and 4) since CTLF lifting operations during this incident were routine, the crew was not accustomed to implementing stop work authority.",Underlying,,,
CP-215260714B,3,The BSEE incident investigation team determined that the probable cause of the incident was due to improper hand placement on the CTLF main wench static line as the wireline valve assembly was being hoisted for installation.,Root,,,
CP-872326FC4E,1,The CE failed to detect the threat of placing his fingers in a hazardous location. The rigger failed to correct the sling raising the lid at the beginning of the lift which would have prevented the incident.,Immediate,,,
CP-F883ABFF3A,1,"The faulty (leaking) new butterfly valve #2, located on the suction line manifold, resulted in the undesired flow of completion fluid into the GOM through the open pre­ load tank #39. It is unclear from the investigation what exactly caused the failure of valve #2. According to the OIM, the entire system is new, but this particular valve may have been damaged due to weathering and inactivity since installation.",Immediate,,,
CP-F883ABFF3A,2,"The open pre-load tank suction valve #3 allowed unrestricted flow into the pre-load tank #39. Likewise, the open pre-load tank overflow valve #4 provided no means of protection from an undesired release into the GOM.",Underlying,,,
CP-2674FB26E1,1,The employee created the hazard by removing the 8 ½ inch sight glass cover that provided protection from a flash fire and placed his face in the opening. The cover was removed while the ignitor was in service and in the process of lighting the pilot.,Immediate,,,
CP-2674FB26E1,2,"As per the Cox Heater Treater Operating Procedure – Job Preparation – Step 3. Have a clear understanding of consequences of deviation and corrective actions. Prior to removing the cover, the employee should have utilized the stop work and communicated his intentions with the other employee involved in the operation.",Underlying,,,
CP-754AE9C18C,1,"During the weld washing in PWE #39, slag rolled under the Velcro portion of the PWE wall, heated up to the point of smoldering and ignited.",Immediate,,,
CP-C733A576BA,1,The probable cause of the accident was the failure of the banksman and crane operator to maintain communications during the lifting operation.,Immediate,,,
CP-C733A576BA,2,There are several possible contributing causes. One possible contributing cause of the accident was the failure of the personnel involved to recognize that the logging unit could position itself in such a way to close off the banksman's escape route. Another possible contributing cause of the accident was the failure of the other personnel involved to give an emergency stop signal to the crane operator when the banksman dropped the radio.,Underlying,,,
CP-5067563F49,1,Exterior and Interior are probable factors in the rupture.,Immediate,,,
CP-5067563F49,2,Exterior and Interior are probable factors in the rupture.,Underlying,,,
CP-58E98FEEFD,1,The auxiliary load block was not centered above the The IP’s hand position when holding the tag line load. The weight of the load.,Immediate,,,
CP-58E98FEEFD,2,The JSA (Job Safety Analysis) did not,Underlying,,,
CP-2868D67F34,1,"Pumping of fluids into the well to maintain sufficient hydrostatic (as overbalanc~ required by Venoco's approved APM and field rules) was discontinued for a long ~nough period of time to allow an underbalanced well condition to develop. Consequently, the well kicked, allowing formation fluids to enter the well and migrate uphole.",Immediate,,,
CP-09636DAF8E,1,"When the left hand torque was applied to the drill pipe, the torque was not transferred down-hole to the desired location. Instead, the torque remained shallow in the hole. Then it unexpectedly backed off at a higher location (at 1922 feet), causing the violent release of energy at the rig floor. Additionally, rig personnel were in position pulling the slips when the release of energy occurred, causing drill pipe, pipe slips, and rig tongs to strike personnel.",Immediate,,,8
CP-09636DAF8E,2,"When the left hand torque was applied to the drill pipe, the torque was not transferred down-hole to the desired location. Instead, the torque remained shallow in the hole. Then it unexpectedly backed off at a higher location (at 1922 feet), causing the violent release of energy at the rig floor. Additionally, rig personnel were in position pulling the slips when the release of energy occurred, causing drill pipe, pipe slips, and rig tongs to strike personnel.",Underlying,,,
CP-CE0CA4123B,1,Human Performance Error: Improper hand placement - IP’s hand from a more severe The IP did not avoid a pinch point when he placed his left hand on the transporter the platform crane.,Immediate,Inadequate Control Measures,,3
CP-FEEB73F805,1,"Gas break-out is believed to have been occurred from the bottom 13 feet of hole fill when the well was C&C at approximately xxxx feet, even multiple times with the well determined to be static.",Immediate,,,
CP-FEEB73F805,2,Mud paramaters insufficent to control the gas influx. though the well bore was C&C,Underlying,,,
CP-FEEB73F805,3,"Gas break-out is believed to have been occurred from the bottom 13 feet of hole fill when the well was C&C at approximately xxxx feet, even multiple times with the well determined to be static.",Root,,,
CP-CF338020AE,1,Equipment failure: Inadequate preventive maintenance - coating of the piping leading to excessive corrosion.,Immediate,Inadequate Control Measures,,15
CP-A0F413DEA6,1,"The probable cause of this incident is that the M/V crew failed to maintain control of the vessel to prevent striking the satellite well.Also,the mate piloting the vessel did not realize that they were located in a multi-jacket, multi-caisson field.",Immediate,,,
CP-A0F413DEA6,2,It is undetermined whether or not weather may have been a factor and it is undetermined whether or not the nav-aid lights were operating properly.,Underlying,,,
CP-0D19E3D5BC,1,The failure of the motor on the shale shaker was not tied into an automatic shut-in device to divert the flow of the mud to another shaker or to an audible or visual alarm to warn the crew member working in the area of the motor failure. The lack of alarms allowed the motor failure to go unnoticed long enough to cause the three barrel spill by allowing the mud to coat over the screens and overflow the SBM in to the Gulf.,Immediate,,,8
CP-0D19E3D5BC,2,With seven shale shakers it is difficult for one crew member to monitor all the equipment continuously. The lack of additional personnel could have been a contributing factor in not noticing the motor failure before the screens coated over with mud and overflowed the SBM in to the Gulf.,Underlying,,,
CP-0D19E3D5BC,3,The failure of the motor on the shale shaker was not tied into an automatic shut-in device to divert the flow of the mud to another shaker or to an audible or visual alarm to warn the crew member working in the area of the motor failure. The lack of alarms allowed the motor failure to go unnoticed long enough to cause the three barrel spill by allowing the mud to coat over the screens and overflow the SBM in to the Gulf.,Root,,,
CP-3C356856A7,1,The CO failed to provide enough slack to the fast line down the load that was hooked to the main load line. so the crane could safely lay,Immediate,,,
CP-3C356856A7,2,There was no weight indicator on fast line or,Underlying,,,
CP-EB037DCDDA,1,Mr. Gregory Rhodes was not wearing fall protection equipment as he was working at an elevated height of approximately eleven (11) feet above the deck below. Mr. Rhodes was not working from an acceptable walk/work platform as he was working at an elevated height of approximately eleven (11) feet.,Immediate,,,
CP-19F338C9DF,1,Managment systems - inadequate hazard analysis,Immediate,Hazard not Identified,,
CP-19F338C9DF,2,Communication - inadequate job instructions provided,Underlying,Inadequate Control Measures,"Mistake - Information Issue -too little, missing or inaccesible information",9
CP-889FB976D8,1, Incorrect crane slings were used (slings were determined by Nabors to be too long at 35 ft in length).  There was no designated person giving hand signals or communicating with the crane operator.,Immediate,,,
CP-889FB976D8,2, There was no communication between positions) prior to the commencement,Underlying,,,
CP-889FB976D8,3, Incorrect crane slings were used (slings were determined by Nabors to be too long at 35 ft in length).  There was no designated person giving hand signals or communicating with the crane operator.,Root,,,
CP-AF26AE8FD9,1,The probable cause of the failure of the bottom bolts in the boom midsection was likely due to a recent boom/boom stop contact.,Immediate,,,
CP-AF26AE8FD9,2,Heavy corrossion may have further weakened the,Underlying,,,
CP-AF26AE8FD9,3,The probable cause of the failure of the bottom bolts in the boom midsection was likely due to a recent boom/boom stop contact.,Root,,,
CP-96BE7D6D00,1,The rig personnel's failure to implement the necessary precautions to prevent construction personnel from entering the area,Immediate,,,
CP-E34F6FA176,1,"Human error, not sure if hand slipped off valve or if it. was set down.",Immediate,,,
CP-E34F6FA176,2,Hand was in a pinch point.,Underlying,,,
CP-E34F6FA176,3,"Human error, not sure if hand slipped off valve or if it. was set down.",Root,,,
CP-F154929E4F,1,"LESSEE FAILED TO MITIGATE THE HAZARDS ASSOCIATED WITH UNEXPECTED SEPARATION OF THE AGITATOR SHAFT AND GEARBOX NOT IDENTIFIED BY THE MANUFACTURER’S PROCEDURES, AFTER MULTIPLE UNEXPECTED SEPARATIONS ON THE DISCOVERER INDIA AND MULTIPLE PRODUCT SAFETY BULLETINS FROM THE MANUFACTURER. CREW MEMBERS NOT FOLLOWING COMPANY POLICY IN REGARDS TO EACH PARTICIPATING MEMBER OF A JOB TASK MUST SIGN THE WRA INDIVIDUALLY. FAILURE OF IP FOLLOWING MAUFACTURER'S PROCEDURE IN THE PERFORMANCE OF THE TASK.",Immediate,,,
CP-DA8B8BA200,1,"This accident was caused by the 3"" nipple cracking.",Immediate,,,
CP-DBE3F957D9,1,Loss of hydraulic power on the Bow Thruster.,Immediate,,,
CP-842BEE84F9,1,-Lack of communication between tugboat Offshore King and the platform -Loss of control by tugboat Offshore King -Strong current,Immediate,,,
CP-842BEE84F9,2,-Lack of communication between tugboat Offshore King and the platform -Loss of control by tugboat Offshore King -Strong current,Underlying,,,
CP-842BEE84F9,3,-Lack of communication between tugboat Offshore King and the platform -Loss of control by tugboat Offshore King -Strong current,Root,,,
CP-F33EB85E55,1,"Equipment Failure: The C1 compressor piston failure led to a sequence of events that resulted in the piston rod nut contacting the head end of the cylinder and separating from the frame. As the housing broke, the gas blowing down through the vent system ignited.",Immediate,,,15
CP-F33EB85E55,2,"Work Environment: It was also determined that the vibration switch tripped but failed to initiate a shut down at the panel. Due to the freezing temperature at the time of the incident (17F), it is suspected that the condensation froze in the tubing between the switch and the panel which would have allowed the switch to trip but not allow the signal to the panel. Desiccant dryers forming in the tubing.",Underlying,,,6
CP-F33EB85E55,3,"Equipment Failure: The C1 compressor piston failure led to a sequence of events that resulted in the piston rod nut contacting the head end of the cylinder and separating from the frame. As the housing broke, the gas blowing down through the vent system ignited.",Root,,,15
CP-600B617E24,1,Cable pulled out of rope socket.,Immediate,,,
CP-600B617E24,2,"the cable failure was identified, Brand new cable not properly assembled by manufacturer. Manufacturer has taken responsibility for the failure.",Underlying,,,
CP-600B617E24,3,Cable pulled out of rope socket.,Root,,,
CP-2F1992912D,1,"Failure of the Universal Power Supply, UPS-7560",Immediate,,,
CP-2F1992912D,2,None,Underlying,,,
CP-2F1992912D,3,"Failure of the Universal Power Supply, UPS-7560",Root,,,
CP-A55DEBBD97,1,"The water-based paint coating on the cylinders did not effectively prevent corrosion in the marine environment. The inadequate integrity of the cylinder coating allowed for corrosion over time. Visual pre-fill inspections were conducted prior to mobilization offshore, but the rack was not disassembled for a thorough inspection of the individual cylinders or manifold components. This type of inspection did not allow for the bottom of the cylinders to be inspected for corrosion.",Immediate,,,
CP-A55DEBBD97,2,"The nitrogen cylinder rack is designed to securely hold multiple nitrogen cylinders in place, ensuring safety and preventing accidents during storage and handling. However, the absence of a material barrier between the cylinders and the rack presents several significant safety concerns. This can include dents, scratches, or other forms of wear that may compromise the integrity of the cylinder, potentially leading to leaks. The rack does not allow for proper drainage, cylinders to corrosive elements.",Underlying,,,
CP-A8413831E1,1,Human Performance Error:  The two bolts that secured the spider dog safety door were sheared off due to the back plates not being raised on the work platform.  Inadequate secondary safety for securing the spider dog safety door to the spider dog; the chain prevents the spider dog safety door from falling into the work platform area but does not retain the spider dog safety door from falling towards well center and to the moon pool.  Standard Operating Manual was not followed by the rig,Immediate,,,3
CP-A8413831E1,2, Communication failure between the rig floor personnel,Underlying,,,
CP-7D02588F5C,1,"The blade of the saw got stuck causing the saw to jump. The IP moved his hand to try and get out of the way, but his hand was struck with",Immediate,,,
CP-F05811403B,1,"It appears the major areas of corrosion/pitting were in the welds of the tube where the fluid interface mixed with corrosive chemicals, thereby damaging the metal. As a result of the investigation, Ridgelake placed various types of corrosion testing coupons within the treater, which will remain until the tube is pulled on the next inspection. Once the coupons are retrieved, they will be sent to a laboratory for metal loss testing. The treater was placed back in service on February 1, 2024.",Immediate,,,
CP-3692EFDD2C,1,The IE failed to check the gauge installed downstream,Immediate,,,
CP-60B0C6B839,1,IP's boot tip hit tread plate causing a fall.,Immediate,,,
CP-EE305E50DE,1,Worn/defective drill bit or improper drill bit being used for the job.,Immediate,,,
CP-EE305E50DE,2,Equipment was not thoroughly inspected before,Underlying,,,
CP-EE305E50DE,3,Worn/defective drill bit or improper drill bit being used for the job.,Root,,,
CP-4A8977A114,1,Management System: Inadequate hazard analysis. Control measures for this operation involving the aerial lift man-riding work basket were ineffective or not implemented. The crew failed to recognize the hazards associated with using the aerial lift man-riding work basket as a lifting operation by pulling downward with rope. There was no lift plan in place for this operation.,Immediate,Hazard not Identified,,8
CP-4A8977A114,2,"Supervision: Inadequate Supervision. There was inadequate supervision during this operation which resulted in an incident since it was allowed to use the aerial lift man-riding work basket outside of its design for man-riding basket and for pulling a load, simultaneously.",Underlying,Inadequate Control Measures, Competency -  Lapse of Competency,17
CP-4A8977A114,3,Human Performance Error: Not aware of hazards. The AD confirmed that he was aware of designed anchor points but had no memory of the event. The AD tied off to an open-ended handrail instead of the designated anchor point inside the man-riding work basket.,Root,Hazard not Identified,"Mistake - Information Issue -too little, missing or inaccesible information",3
CP-FE4D05FCE3,1,HUMAN ERROR: Inattention to task- The boat captain was not paying attention to the MV’s heading once he set course to the WD field and turned his attention to performing computer tasks,Immediate,, Competency -  Lapse of Competency,3
CP-FE4D05FCE3,2,HUMAN ERROR: Not aware of hazards- The captain of the MV failed to identify the hazards of nearby structures before setting the MV’s course to his next location.,Underlying,Hazard not Identified,"Mistake - Information Issue -too little, missing or inaccesible information",3
CP-FE4D05FCE3,3,HUMAN ERROR: Not following proper procedures- The MV captain did not use his electronic navigation chart system that has the structures clearly identified. This is a violation of the company safe navigation/voyage planning policy.,Root,Control Measures Not Implemented,Violation - Situational Violation,3
CP-5A16E091A7,1,"HOT WELDING SLAG FROM TOP DECK. IT IS BELIEVED THAT METHANOL WAS INADVERTENTLY RELEASED INTO CHEMICAL TANK SKID PRIOR TO EXPLOSION/FIRE. THE WELDING WAS TAKING PLACE DIRECTLY OVER THE METHANOL TANK WHICH IS LOCATED ON THE BOTTOM DECK. A PIECE OF PLYWOOD WAS PLACED OVER THE TANK AND SECURED WITH ROPE, BUT DID NOT COVER THE ENTIRE SKID, ALLOWING THE IGNITION SOURCE TO IGNITE THE METHANOL IN THE SKID AND BEGIN HEATING THE METHANOL CONTAINER. AT THIS POINT A BLEVE OCCURRED. (boiling liquid expanding vapor explosion)",Immediate,,,
CP-AAEC0F5FC5,1,"Low pressure gas vented into common venting going to the skimmer, released to atmosphere and migrated into the MCC room from below, through opening (approximately four inches in diameter) into the MCC room and was ignited by an automated switch or relay. The door was opened, causing room. The percentage of gas in the than in the room.",Immediate,,,
CP-0D35A2BD08,1,"The installation of the failed dead man pad eye for the main hoist line was performed without an installation procedure, welding procedure, engineered drawing of the pad eye, NDT procedure or any type of approval or guidance from the original manufacturer of the crane, crane service company, or engineer. The incorrect installation of the pad eye led to it being pulled from the crane boom cord.",Immediate,,,3
CP-0D35A2BD08,2,"Lack of facility personnel as well as management to ensure that the crane was maintained, or repaired as per requirements of API RP 2D. -",Underlying,,,
CP-BD12A5BAEA,1,Improper hand placement when attempting to open,Immediate,,,
CP-D10A5C8CAF,1,A leaking dump valve on the #3 pit allowed Synthetic Based Mud to slowy drain out of the pit.,Immediate,,,
CP-DD880048AA,1,Equipment Failure – Flawed equipment design or gas to migrate into the lube oil tank.,Immediate,Inadequate Control Measures,,15
CP-DD880048AA,2,construction: Seals failed causing,Underlying,,,
CP-DD880048AA,3,"Equipment Failure – Capacity of equipment exceeded: Gas entered into the lube oil tank exceeding the tanks capacity, causing gas and lube and onto the compressor engine.",Root,Inadequate Control Measures,,15
CP-13A8820D4B,1,"Human Error: The Driller failed to place the diverter panel in the ""Test"" mode before performing the diverter test.",Immediate,,,15
CP-13A8820D4B,2,The Driller was not familiar with the rig and,Underlying,,,
CP-11BFCC2E3F,1,Weather conditions prevented the pumping of oil,Immediate,,,3
CP-5AB375533E,1,The hatch cover was left in the open position prior to the IE's attempt to board the top crane deck. w as the first time the IE was to operate this particular crane.,Immediate,,,
CP-5AB375533E,2,The IE was unaware of a hatch door being present while performing the crane pre-use inspection.,Underlying,,,
CP-B81BC32135,1,A hose connecting the crank case emissions absorber had a pin hole rubbed in it and blew oil over the top of the engine and landing on the intake manifold/Turbocharger and a piece of gasket material. The Turbocharger temperature is between 800 and 900 degrees.,Immediate,,,
CP-EF12925A15,1,Human Performance Error: Inadequate Knowledge of Equipment Operation: the safety catch within the I’D was bypassed when the excess rope was laid to the front of the device as opposed to below or behind it and it was not ran through a directional carabiner per manufacturer recommendations.,Immediate,Inadequate Control Measures,,3
CP-EF12925A15,2,"Personnel Training: Personnel not trained/poorly trained: The Southey Supervisor failed to install the releasable anchor system per the manufacuters' recommendations: he did not thread the rope correctly through the anchor point I’D on RAT #2’s working rope, he did not pass the excess working rope from either of the anchor ID’s through directional carabiners to ensure function of the anti-error catch and did not tie-off all of the anchor devices to prevent accidental lowering of RAT’s. The Southey Supervisor then walked away from the work site and left three Level 1 RAT’s unsupervised conflicting with IRATA training guidelines. RAT’s #1 and #2 did not conduct independent assessments of the anchor point installations prepared by their Southey Supervisor and neither function testing nor buddy checks were completed on each other’s personal RA kits. The IP did not comply with his training and mechanically bypassed his personal backup Shunt device by grabbing and maintaining grip on his rope protector above the backup device. The Southey Supervisor did not follow his training or manufacturer recommendations: The rope was threaded through the I’D descender device improperly, the I’D was not secured/tied-off to prevent accidental lowering of workers per manufacturer recommendations, the IP did not install the rope pro properly- had he done so, his fall would have been minimal as his back-up device would have functioned- he did not secure the rope pro tightly.",Underlying,Inadequate Control Measures,,
CP-2243618BFC,1,The probable causes identified by investigation,Immediate,,,
CP-6E7C2B257D,1,The CE failed to utilize a ladder to obtain additional slack in the air hose. The CE could have also repositioned his footing to fall hazards.,Immediate,,,
CP-340FA64A38,1,The probable cause(s} of this accident are the failure & LSL to close the LCV.,Immediate,,,
CP-340FA64A38,2,A contributing cause was heavy polymer deposits (from float arms in V-33.,Underlying,,,
CP-340FA64A38,3,. N/A,Root,,,
