Incident Number,incident Title,Incident Classificatioin,Date of Incident,Time of Incident,Date of Report,Site,Area,Unit,Detail,Work Group,Description,Incident Type A,Incident Type B,Incident Type C,Incident Type D,Investigation leader - Name,Investigation leader - Position,Incident Classified by - Name,Incident Classified by - Position,Investigation Acceptor/Approver (Owner) - Name,Investigation Acceptor/Approver (Owner)- Position,Approval Date,Close out Approval - Name,Close out Approval - Position,Close out Date,What happened?  ,What was the outcome?,Incident Classification,What was the worst outcome that could reasonably be expected to have happened?,Health & Safety Incident - Classification,Health & Safety - Risk Score,Health & Safety  - Consequence,Health & Safety - Likelihood,Environment & Reputation - Incident Classification,Environment & Reputation - Risk Score,Environment & Reputation  - Consequence,Environment & Reputation - Likelihood,Financial Cost & Business - Incident Classification,Financial Cost & Business Interruption - Risk Score,Financial Cost & Business Interruption  - Consequence,Financial Cost & Business Interruption - Likelihood,How did the incident occur
MR-0998CD05CC,,Incident,2022-12-27,07:15,2022-12-29,EI,349,A,,Maintenance,LIFTING DEVICE,Loss Event,Environment & Reputation,Loss of Containment,,SYN-07ed76,Production Foreman,SYN-a34f23,Maintenance Supervisor,SYN-875abf,Production Foreman,2023-01-13,SYN-881cda,HSE Advisor,2023-08-23,"On December 26, 2022, the Black Warrior P&A Crew was preparing well A-17 for
permanent well abandonment (P&A). Initially the crew was attempting to bleed
pressure off a small section of piping connected to the A-17 well production casing
valve. The P&A crew could not determine whether the casing valve was open or
closed.Attempts to turn the frozen casing valve stem with a pipe wrench were
unsuccessful. The P&A crew then tried to grease the casing valve by removing the cap
on one of the grease fittings located on the body of the valve. However, due to
heavy rust and corrosion the entire grease fitting turned causing a small gas leak
around the grease fitting threads. The grease fitting was tightened and the gas leak
stopped. A decision was made to replace the grease fitting at a later time when the
P&A crew returned to the well to pump seawater through the production casing valve.
At some unknown time after the platform was unmanned for the day, the grease fitting
began to leak again. The P&A crew returned to the A platform the next day, November
25th, to discover the leaking grease fitting and an oil sheen on the water around the
platform. Action was taken immediately to contain and control the leak. The grease
fitting was removed and replaced by a new grease fitting. The 200 gallon spill is an
estimated volume based on calculations that were taken while using a five gallon
bucket to contain and recover the oil that was leaking. The oil recovered by the P&A
crew was stored in plastic drums and transported to the adjacent Eugene Island 349 B
platform for proper disposal. By the end of the day the spill had dissipated to a
very light sheen.",Reported as a pollution release.,Incident,,Incident,6,C,2,,,C,,,,,,
MR-59AB335D36,,Incident,2023-01-12,10:43,2023-01-20,EI,261,A,,Construction,,Loss Event,Environment & Reputation,Loss of Containment,,SYN-eded27,Facility Engineer,SYN-68572d,Operations Superintendent,SYN-04ae48,Production Foreman,2023-03-30,SYN-fbaae9,Operations Superintendent,2023-07-25,"The Houston Exploration Company (THEC) experienced a fire onboard the Eugene Island
261, A platform at approximately 10:00 hours on January 12, 2023. There were no
injuries to personnel. THEC reported one minor (.02 gallons) pollution incident to
the National Response Center on January 12, 2023. Damage was moderate and
restricted to the compressor and generator located in the southwest corner of the top
deck of the platform. The fire was extinguished within minutes with portable and
wheel unit chemical extinguishers.
The following documents the",There were no injuries to personnel.,Incident,,Incident,6,C,2,,,C,,,,C,,"sequence of events just prior to the carry over of
liquids from the high pressure vent system:
Snubbing unit re-completion operations on Well A-13 had just been completed and the
snubbing unit moved off location. Well A-13 was loaded up with completion fluids and
unable to flow on its own. The A-13 well was lined up to flow for clean up to the
test separator. Leaking threads on a ½ inch weld-a-let for a ½ inch valve on the
intermediate pressure (IP) header were detected and operations were shut down to
repair the leak. The weld-a-let leak was thought to have been corrected by replacing
the existing 1/2 inch needle valve with a 1/2 inch needle valve that had a longer
threaded stem. Once the leak was corrected, the IP system was recharged and
operations were again initiated to unload the A-13 well. Platform operators lined up
the test separator to flare with the back pressure valve set at 0 psi. The pressure
safety high and low (PSH/L) sensors and level safety high (LSH) were bypassed,
flagged and monitored at the master panel by the ""B"" production operator. The Lead
operator pressured up on Well A-13 with 1000 psi from the gas lift supply. The Lead
operator lined up the header system from the well to the test header and placed the
A-13 well in bypass. The A-13 well was being monitored by The Houston Exploration
Company (THEC) consultant. The THEC consultant began opening Well A-13 to the test
separator and from the test separator to the high pressure vent scrubber. The initial
leaking ½ inch weld-a-let and needle valve on the IP separator began leaking gas a
second time at a high volume. Wells A-6 and A-11 producing into the IP system were
shut in by the Lead operator.
The following documents the sequence of events that resulted in the carry over of
fluids from the high pressure vent system:
""A high fluid level was experienced in the high pressure vent scrubber and a level
safety high (LSH) shut in sounded an alarm. The source of the accumulated high fluid
level in the high pressure vent scrubber was a carry over of completion fluids from
the test separator that were being generated by unloading Well A-13. Total platform
shut in began to occur.
""The THEC consultant was instructed and initiated the manual shut in of Well A-13
since it was locked open.
""Once the THEC consultant shut in Well A-13, He elected to open up the IP header to
the high pressure vent system to relieve the pressure off the leaking ½ inch weld-a­
let connection on the IP header.
""At or about the same time the THEC consultant opened up the IP header to the high
pressure vent system, the gas compressor shut down and the compressor blow down valve
(BDV) opened up sending all the compressed gas from the compressor to the high
pressure vent system.
""Produced fluids and gas flooded the high pressure vent system.
The following documents the sequence of events that resulted in the fire:
""High pressure blow down gas from the compressor and liquid hydrocarbons collected in
the high pressure vent system are discharged to atmosphere via the flare boom located
on the northwest corner of the platform.
""Prevailing winds carried the liquid hydrocarbons from the tip of the flare boom back
onto the platform top deck and onto the generator and compressor.
""High temperature from either the compressor exhaust systems or the generator exhaust
systems ignited the liquid hydrocarbons.The resulting fire was immediate."
MR-C2945460C7,,,2023-01-21,14:10,2023-02-16,MO,914,,,Production Operations,LIFTING DEVICE,Loss Event,Health & Safety,Injury TLI,,SYN-638ec8,Production Foreman,SYN-36623b,Operations Superintendent,SYN-64f24b,Facility Engineer,2023-03-15,SYN-f2734c,Facility Engineer,2023-04-05,"On January 21, 2023 at approximately 14:10, at Royal Production Company Inc.'s Lease
OCS-G 07849, Mobile (MO) Block 914, an employee received 2nd degree burns, from hot
water, on his arm, chest, abdomen and legs. The Injured Person (IP) was conducting
repairs on a pump by the output pipe, when the expansion boot blew out causing hot
water to engulf him. Pipeline Segment No. 17196. IP had 7 days of lost time and 36
days of modified duty. On March 5, 2023 IP was cleared to return to work without
restrictions.",The incident resulted in a lost-time accident with more than 3 days lost.,,,,,,,,,,,,,,,"Sequence of Events:
The injured party was tightening packing where the shaft goes through the pump by the
output pipe when the expansion boot blew out causing severe hot liquid (water) to
engulf the injured on arms, chest, abdomen and legs. The injured party then went back
to the mechanic shop and sent a diver to retrieve the medic. Medic assessed burns to
be 2nd degree burns. Injured is being put on the M/V Lafayette to be transported to
Theodore, AL Martin Midstream Dock to be taken"
MR-60AA0395CC,,,2023-01-23,14:00,2023-02-01,MC,243,A(MATTERHORN SE,NABORS SUPER S.D. XIX,Construction,LIFTING DEVICE,Loss Event,Health & Safety,Injury TLI,,SYN-51bf93,Maintenance Supervisor,SYN-f6988e,Production Foreman,SYN-99e8e3,Maintenance Supervisor,2023-03-30,SYN-440895,Facility Engineer,2023-05-03,"On 23 January 2023, while unplugging and plugging an electrical cord plug-in of a
transfer pump, from a 20 amp receptacle to a 30 amp receptacle, with the breaker on,
an Injured Person (IP) was struck by an electrical flash and suffered 2nd and 3rd
degree burns to his face, neck, hands, and arms when the plug and cord explode. The
IP also received burns to his lower back when a fall against a metal handrail behind
him resulted in a positive connection. There was a main breaker but it was not turned
off. There was no Job Safety Analysis (JSA) issued to make certain that the employees
were properly informed of the dangers and the steps needed to insure that all
electrical current was off. Nabors Offshore's glove and FRC (fire resistant clothing)
policy was not followed. The IP did not don proper personal protective equipment
(PPE). He was wearing two T-shirts and pants instead of fire retardant clothing and
was not wearing gloves. The IP was transported to West Jefferson Medical Center by
helicopter.",The IP was transported to West Jefferson Medical Center by helicopter.,,,,,,,,,,,,,,,"Sequence of Events
At the time of the incident, the Rig Manager was assisting the Derrick Hand (IP) with
this task. An electric cord for transfer pump 20 hp motor was being moved from a 20
amp plug-in to a 30 amp plug-in. The Electrician was busy on the rig floor and unable
to come down and perform the task himself so, he verbally instructed the Rig Manager
how to proceed. The Rig Manager and Derrick Hand made certain that the switch on the
transfer pump motor was off. The panel board for the 30 amp plug-in has a push button
on/off switch which lights up when the cord and plug in are connected; since the cord
was not connected, the light did not function. The Derrick Hand repeatedly pushed the
on/off button, but he was unable to determine if the current was on or off. The Rig
Manager pressed the safety lock on the receptacle and the Derrick Hand attempted to
place the plug-in into the receptacle; since the current was on, the receptacle arced
toward the cord and both the receptacle and plug exploded injuring the Derrick Hand."
MR-C9CC4F5743,,,2023-01-24,16:00,2023-02-01,EI,333,B,,Production Operations,LIFTING,Loss Event,Health & Safety,Injury TLI,,SYN-3deda9,Facility Engineer,SYN-547d64,Operations Superintendent,SYN-1d609f,Operations Superintendent,2023-03-26,SYN-730c4b,Maintenance Supervisor,2023-07-17,"On January 24, 2023 at approximately 1600 hours, a contract employee (CE) was injured
while attempting to carry a section of handrail to the +10 level.
A construction crew was in the process of changing several handrails on the +10 due to
corrosion. A CE was attempting to carry a handrail to the +10 level. As the CE was
walking down the southeast stairwell, the handrail he was carrying connected with a
handrail on the stairwell. The CE lost his footing when he attempted to free the
handrail and began falling down the remaining stairwell. As the CE was falling, his
face and head struck a low clearance support beam.
The CE was transported to Lafayette General for treatment. The CE suffered a broken
nose and broken facial bones.
The lessee was waiting on engineering and construction to clear the low beam from the
escape route without compromising the structural integrity.
The BSEE Lafayette District Inspector conducted an onsite investigation February 8, 2023.",The CE suffered a broken nose and broken facial bones.,,,,,,,,,,,,,,,
MR-1701320A55,,Incident,2023-01-31,00:20,2023-02-09,SS,114,,* LIFT BOAT,Drilling,LIFTING,Loss Event,Environment & Reputation,Loss of Containment,,SYN-120765,Marine Coordinator,SYN-e64ad1,Maintenance Supervisor,SYN-7333cc,Operations Superintendent,2023-03-19,SYN-a7d7c1,Maintenance Supervisor,2024-03-08,"On January 31, 2023, an incident occurred during plug and abandon (P&A) operations for
the operator, Stone Energy Corporation. The P&A operations being conducted was
located at Ship Shoal Block 114 well # 44. Stone Energy Corporation was following the
approved procedure in the application permit to modify which consisted of up-righting
the existing bent over well. While performing the up-right procedure, the bent casing
ruptured causing an estimated 56 gallons of hydrocarbons to be released into the Gulf
of Mexico (GOM).
Stone Energy contracted Epic Companies to assist in the P&A process of well # 44,
which was knocked over and damaged during Hurricane Elena in 1985. Well # 44 is a
surface well in approximately 52 feet of water and was previously abandoned in January
1989. The multiphase P&A operations are still on going. This first phase required
excavation activities so they could reach the 45 degree bend of the well. Stone
Energy estimated the bend to be at 65 feet below the original mudline. The excavation
resulted in getting 20 feet away from the bend, expanded the well location mud line by
120 feet in diameter, and cleared 180,000 cubic feet of sediment away from the well
location area. The second phase of the P&A operation required two liftboats to be on
location, Liftboats Ram 18 and Ram 19. The procedure called for a 105 foot long by 60
inch diameter casing weighing approximately 93,500 pounds to be slipped over the
damaged wellhead below the mudline by using the two cranes positioned on the two
liftboats. Once the 60 inch casing was stabbed over the existing casings, (which
consisted of 9.625 inch wellhead, 13.375 inch, 20 inch, 36 inch and 48 inch casings)
the 60 inch casing would act as a lever arm and be used to pull the well upright into
its original vertical position. A hydraulic Vibro Hammer weighing approximately
45,000 pounds would then be used to drive the casing past the bend in the wellbore to
keep the well vertical for further P&A operations.
At approximately 00:30 hours on January 31, 2023, the night Company Representative was in
his office on the 3rd level on the Ram 18 updating his paperwork when he heard a loud
boom and felt the liftboat shake. He immediately went out to the port side of the
liftboat and observed oil and water spouting above the deck, 25 to 30 feet in the air
above the 15 foot deck. The Company Representative recalled the oil and water spout
to last approximately 30 seconds. He walked back into his office to get his Personal
Protective Equipment (PPE) and called for a muster of all personnel on the liftboat.
Once a muster was called, he proceeded down the stairs to the starboard side of the
liftboat so that he could have a better view of the well area. Oil and water were no
longer spouting into the air, but there was oil on the water surrounding the liftboat
and gas bubbles surfacing near the Vibro Hammer. All personnel remained mustered for
approximately 30 minutes before being released to go back inside the cabin of the
liftboat. The night clerk notified the Clean Gulf Vessel JL O’Brien and informed them
of the situation, and it proceeded to their location. Both Day and Night Company
Representatives began to notify management of the situation.
The Bureau of Safety and Environmental Enforcement (BSEE) investigation team conducted
the initial onsite investigation on January 31, 2023. The team collected evidence, took
photographs and interviewed personnel that were involved. While flying over the well
site, the team witnessed a sheen approximately 2.5 miles long and .5 mile wide, moving
in a westerly direction. The documentation disclosed that a Pre Job Safety Meeting
(PJSM) and a Job Safety and Environmental Analysis (JSEA) were performed with all
personnel involved prior to up-righting the well to a vertical position. The day
Company Representative stated that on January 29, 2023, the 60 inch casing was slid over
the wellhead and sank approximately 30 to 45 feet on its own until meeting some
resistance. The Vibro Hammer was attached to the casing via hydraulic grippers and
suspended with the Ram 18 crane. The well was then up-righted to a vertical position
with no issues. The Vibro Hammer was engaged and the weight indicator on the crane
was monitored for weight gain or loss with no progress noted. An All Stop was
initiated and all operations were shut down for the night. On January 30, 2023, another
PJSM and a JSEA were held at 05:30 hours with all personnel involved, and hammering
operations commenced again, this time pulling and slacking off on the casing while
hammering at 5 degrees, 10 degrees, and 15 degrees, still with no success. The Vibro
Hammer developed a maintenance issue and shut down. While the crew began to
troubleshoot the issue, the Ram 18 Crane Operator pulled 100,000 pounds on the hammer
and casing to hold it in place and to monitor the casing weight. All operations were
shut down for the night.
In the interviews with the two Company Representatives, both stated that on July 25,
2018, at 00:30 hours, the liftboat Ram 18 shook violently and the Night Company
Representative initiated a muster of all personnel on board. He stepped outside on
the port side and saw oil and water shooting approximately 20 to 30 feet into the air.
This lasted approximately 30 seconds until the well calmed. There was oil all around
the Ram 18 but gas was not detected with the portable gas detector. After 30 minutes,
a stand down from the muster was called. The Night Company Representative proceeded
to the starboard bow to get a better view of the well area. He noticed that the Vibro
Hammer was still attached to the casing and it had rotated approximately 30 to 40
degrees after the incident. The Crane Operated checked the weight indicator and
noticed the load weight was now fluctuating from 152,000 to 158,000 pounds. Once the
well stabilized, the Ram 19 was repositioned away from the well area.
The well was steadied in a vertical position after 3 piles were driven and tension
cables were installed to support the 60 inch. It was determined after further
excavation that the 9.625 inch casing had parted where it was bent and rose
approximately 37 inches. On February 2, 2023, the well sheen reduced to an occasional
Fish-Eye effect that would dissipate within 15 feet of the well. A pollution dome was
installed over the top of the 60 inch in the event there was another release. The P&A
process is still ongoing without any further incidents.",Reported as a pollution release. Personnel were mustered.,Incident,,Incident,6,C,2,,,C,,,,,,
MR-CD886E8526,,Serious Incident,2023-02-02,14:30,2023-02-07,WD,73,D,,Maintenance,LIFTING,Loss Event,Business Interruption & Cost,Equipment Damage,,SYN-3a234f,Facility Engineer,SYN-3d9a7f,Operations Superintendent,SYN-c42f7a,Operations Superintendent,2023-03-27,SYN-273ff8,Production Foreman,2023-06-17,"On February 2, 2023, a crane incident occurred on Cox Operating, L.L.C.’s (Cox) WD 73 D
platform, Lease OCS-G 01083. A third-party Crane Operator caused damage to a crane
boom during lifting operations. While picking up a small basket with tools for the
FabCon construction Crew, the Crane Operator raised the boom while lowering the load
to get the basket to the platform. During the process, the Crane Operator pressed the
boom override, which allowed the boom to contact the boom stops. As a result, greater
than $25,000 of damage occurred. No injuries or pollution occurred.","He received statements from the Crane Mechanic and the Cox Production Manager, who stated the damages were estimated between $35,000 and $80,000.",Serious Incident,,Serious Incident,20,D,5,,,,,,,,,"SEQUENCE OF EVENTS:
On Crew change day, February 2, 2023, around 2:30 pm, the FabCon Crew prepared for Crew
change by cleaning up and removing tools from the platform’s +10 level. While the Crew
worked on replacing horizontal grating near the stairway landing, the Crane Operator
lowered a small wire basket using the single part, fast line (auxiliary line).
In order to bring the small wire basket closer to the west boat landing, the Crane
Operator activated the high angle boom override until the boom made contact with the
boom stops. The Crew then used tag lines to pull the basket onto the landing. The
cargo basket was approximately 4’ outward from the landing area. Next, the Crew loaded
the basket with the tools. Then, the FabCon Signalman signaled the Crane Operator to
swing out the basket. However, the Crane Operator noticed that the fast line cable
was against an I-beam, so he boomed up more before swinging out. As the Crane
Operator swung out the load, the Boat Captain on location announced on the radio that
he saw something fall from the crane.
In addition, the rigger on the top deck stated he heard a noise, looked up, and saw
something fall from the crane. The FabCon Supervisor identified the fallen object as a
boom stop pad. The Crane Operator swung out, hoisted the basket up, and placed the
basket on the top deck. Next, the Crane Operator stopped the operation and left the
crane to inform his supervisor. The Crane Mechanic on location observed the damages to
the boom heel, stopped the job, and took the crane out of service. He then returned
the crane to the boom cradle.
Next, Cox function tested the crane's safety devices including the anti-two-block
switches for the auxiliary and load line and the high angle boom kick out override.
Cox found the devices in working condition.
Later, Cox performed a Root Cause Analysis (RCA) and submitted an Incident Analysis
Report in eWell. As a corrective action, Cox instructed all their facilities not to
use the override during normal operations. In addition, Cox initiated the development
of a plan to remove overrides from their cranes.
BSEE INVESTIGATION:
Bureau of Safety and Environmental Enforcement (BSEE) Inspectors arrived on location
on February 2, 2023 and began the investigation. The Inspectors took photos and reviewed
documentation including Job Safety Analysis (JSAs), permits, Personnel On Board (POB),
licenses, and reports.
On February 5, 2023, a BSEE Investigator arrived on location to continue the
investigation. He received statements from the Crane Mechanic and the Cox Production
Manager, who stated the damages were estimated between $35,000 and $80,000.
The primary high angle boom override allows the boom to continue to operate in spite
of the safety design. The safety design causes the boom hydraulic lifting fluid to
recirculate and halt movement. The secondary protection is the boom stops. The boom
kick out or override angle is 78 degrees, approximately 8 inches from the boom stops.
Continuing to boom up once the boom contacts the boom stops bends the boom.
The BSEE Investigator determined that the Crane Operator did not operate in a safe and
workmanlike manner. The Crane Operator’s inattention to the boom angle before booming
up contributed to the incident. The Crane Operator and Crew may have been in a hurry
due to it being Crew change day. In addition, the Crane Operator was a short service
employee to the construction Crew. The Crane Operator disregarded the sign posted
inside the crane cab that states overriding the boom kick out safety device while
booming up or raising the load requires a prior supervisory approval. The Crane
Operator did not request supervisory approval prior to overriding the high angle boom
kick out safety device. Moreover, the FabCon Supervisor, Construction Consultant,
Person In Charge (PIC), nor Field Foreman gave the Crane Operator permission to
override the high angle kick out at any time during the operations. The Investigator
also found that the JSA did not specify the details of the lift, such as lift starting
point, lift path, boom angles, or the designated Signalman.
In conclusion, the crane incident occurred due to the override of the high angle boom
kick out safety device. Additionally, the BSEE’s investigation determined that the
Crew’s disregard for policy and inattention to the task caused the incident."
MR-99C053DF01,,,2023-02-07,17:00,2023-02-13,MO,830,2,ENSCO 86,Production Operations,LIFTING DEVICE,Loss Event,Business Interruption & Cost,Equipment Damage,,SYN-962b74,Maintenance Supervisor,SYN-2d2c12,Facility Engineer,SYN-d773fe,Maintenance Supervisor,2023-02-23,SYN-68392a,Operations Superintendent,2023-08-28,"On 7 February 2023 at approximately 1700 hours, the Assistant Driller was on the
brake while the Driller was standing next to him adjusting the rotary speed. The
operation at that time was hoisting the drill string after drilling from 15,517 ft to
15,550 ft. As the Assistant Driller was coming off bottom to take a slow pump rate,
the clutch disengaged. This allowed the travelling block assembly to fall
approximately 10 feet striking the rotary table and allowed the bit to hit bottom.
There was approximately 360,000 pounds on bit with a total string weight of 450,000
pounds, resulting in the 350 ton links to bend. The links were replaced with spare
500 ton links and the elevators were replaced as a precautionary measure; though no
visual damage was noted. A visual inspection was completed on the top drive, derrick,
and sub base with no further damage found. Twenty two (22) joints of drill pipe were
found to be bent and 1 joint of heavyweight drill pipe was found to be bent at the
box; all were removed from service. National Oil Well Varco (NOV) inspected the top
drive system on 9 February 2023 and no damage was found. It is unknown and not
reported how the clutch was disengaged. During the time of the incident, the
floorhands were working elsewhere. There were no injuries or pollution associated
with this incident.
Ensco had recently initiated an Assistant Driller program and the training
requirements and qualifications to become an Assistant Driller are unknown. The
Assistant Driller had recently been promoted and this was his first hitch on Ensco 86
and first hitch as an Assistant Driller. Apache and Ensco conducted separate internal
investigations. Apache requested that the Assistant Driller submit to a drug and
alcohol screen (10 point test), which he tested negative for both according to the
Apache Company Representative. After an internal investigation was completed on 3
March 2012, it was determined that the root cause of the incident was human error due
to lack of experience. It is also unknown at this time if the OIM was aware that the
Assistant Driller was on the brake.",There were no injuries or pollution associated with this incident.,,,,,,,,,,,,,A,,
MR-CFF0292C6B,,Very Serious Incident,2023-02-08,09:00,2023-02-12,SS,229,­ A,* COIL TUBING UNIT,Production Operations,LIFTING DEVICE nylon sling,Loss Event,,,,SYN-d28e34,HSE Advisor,SYN-715f04,Operations Superintendent,SYN-c2ab93,Operations Superintendent,2023-03-21,SYN-b7223f,Production Foreman,2023-04-27,"-
On February 8, 2023, a CETCO Plug and Abandon (PA) crew was rigging up Coiled Tubing
(CTU) equipment on Ankor's Ship Shoal (SS) 229 A facility. The PA crew members were
using the lift boats crane to lift the riser section of the equipment in order to
drain water out of the bottom of the riser. Nylon slings were held in place by two
studded bolts threaded to a flange at the top of the riser in order to complete the
lift, in place of a proper lifting device. Two PA employees held the slings in place
in order to keep the slack out as they radioed the crane operator to begin lifting
the riser. When all slack had be removed from the slings they gave the ""all stop""
command to the crane operator, and at this time one of the eyes on the nylon sling
parted and struck one of the PA crew members who had been holding the sling in place
on the right wrist. The PA crew called an ""all stop"" at this point and the Injured
Person (IP) was evaluated at the facility by Ankor's contract safety representative.
The IP's hand had already began to swell from the knuckles to his wrist, and he was
sent by helicopter to Ankor's shore base in Patterson, Louisiana where he was met by
CETCO's safety representative, and he was taken to Occupational Medicine Clinic (OMC)
in New Iberia, Louisiana for further evaluation. The OMC doctor diagnosed the IP with
a broken wrist, and CETCO placed him on restricted duty.
Multiple issues allowed this incident to occur. The CETCO PA supervisor was not
overseeing the rigging up of the equipment and the post incident evaluation noted
that the IP was inadequately trained in lifting and rigging. A pre-use inspection of
the lifting equipment was not conducted, the slings that were used appeared old and
dirty, and no certifications for the slings were on board the facility. It was noted
that these were the wrong slings for this type of lift and they were incorrectly
rigged to the riser. The JSA for the job was inadequately filled out and was missing
job steps and failed to identify all hazards. CETCO procedures for correct rigging to
the riser flange were also missing from the job site.",Reported as a lifting-device incident. The facility was evacuated.,Very Serious Incident,,Very Serious Incident,25,E,5,,,,,,,,,
MR-40DBFD9877,,,2023-02-22,11:15,2023-03-04,WR,508,,NOBLE JIM DAY,Well Services,LIFTING DEVICE,Loss Event,Business Interruption & Cost,Equipment Damage,,SYN-ef60a2,Production Foreman,SYN-98f0e1,Facility Engineer,SYN-8a7742,Production Foreman,2023-04-07,SYN-2c2fdd,HSE Advisor,2023-06-21,"On February 22, 2023, while performing completion operations for Shell Offshore Inc.,
the Noble Jim Day experienced an incident in which one of the rig's riser tensioning
bottles failed and was ejected into the Gulf of Mexico.
The Noble Jim Day had been performing completion operations on Shell Offshore’s 006
well located in Walker Ridge Block 508, Lease G17001. The rig had just finished
fracking the HU-5 zone of the well and was monitoring weather conditions to determine
a plan forward. Based on the high winds, sea state, and currents at the time, the
decision was made to put all well operations on hold and wait for weather conditions
to improve before proceeding with fracking operations.
At approximately 11:15 hours, a loud noise was heard and a heavy vibration was felt
throughout the rig. Alarms sounded that notified the crew of the source of the
problem and personnel were sent out to investigate the issue. Upon arriving at the
ship’s Air Pressure Vessel (APV) Deck, it was observed that extensive damage had been
sustained to the surrounding piping, supply lines, and electrical equipment located
on that deck. It was also found that APV bottle ‘5B’ was missing and had been the
cause of the damage. Riser Tensioners #5 and #8 where rendered inoperable due to the
extent of the damages, and an investigation into the cause of the incident was
started.
The APV Deck for the Noble Jim Day is located on the aft side of the rig, just off of
the main deck. The purpose of this deck is solely to house the APV bottles for the
rig’s riser tensioning system. Each of the rig’s 66 APV bottles measure 18 feet long
with a 22 inch diameter. Each bottle contains a mixture of approximately 95% nitrogen
and 5% air and has a system rated working pressure of 2,200 psi. At the time of the
incident, the internal working pressure of the bottle system was set to 1900 psi.
The initial investigation confirmed that the cause of the incident had originated
from a failure of the ‘5B’ APV bottle. Two pieces of the ruptured bottle remained on
the deck, while the rest of the bottle was ejected off of the rig into the Gulf of
Mexico. Operations onboard the rig remained shut down so that the damages could be
assessed and repaired, while the remaining pieces of the APV bottle were sent in for
further analysis.
Although an in depth examination of the bottle fragments failed to identify a
specific failure point, all test results seem to point toward ‘stress corrosion
cracking’. Stress corrosion cracking is a process where fatigue stress in a metal is
accelerated by the introduction of a contaminate, in this case it is chlorides.
Traces of chlorides were found in samples that were taken from the cracks of both
bottle fragments and are known to contribute to 'stress corrosion cracking'.
Chlorides are present in all offshore environments and are believed to have
contributed to the bottle’s failure. It was also stated in the operator’s report that
the initial stress points of the bottle are believed to have originated from the bolt
holes in the flange on the neck of the bottle, although chlorides were also present
in the head-to-shell welds of the bottle. The chlorides are believed to have been
deposited into the bolt holes and exposed welds of the bottle due to the splash and
spray of seawater onto these surfaces. Possible sources of the stress points that
were identified at the bolt holes and welds could have been caused by vibration,
pressure fluctuations, bolt torque, or a combination of any of these. The APV bottles
are exposed to all of these conditions throughout the course of normal operations.
Additional tests were performed on the remaining APV bottles onboard the facility. Of
the 65 bottles that remained, 9 were removed from service due to similar defects that
were found during the test performed on the ruptured bottle. All of the defects were
located on the necks of the bottles and all on their inside surfaces. The other
bottles in the system were determined to be in good condition and each met or
exceeded the manufacturer’s specifications. More frequent inspections and an improved
inspection procedure, utilizing ultrasonic testing, was put into place in an attempt
to prevent a reoccurrence. In addition, Noble issued a safety alert to all rigs
utilizing similar equipment which prevented any personnel from accessing the APV
bottle area and required that ultrasonic testing be performed on all bottles in
service.","Reported as damage over $25,000. Estimated property damage $355,000.",,,,,,,,,,,,,C,,
