Incident Number,Recommendation Number,Recommendation Description,Unmittigated Risk - Score,Unmittigated Risk - Consequence,Unmittigated Risk - Likelihood,Mittigated Risk - Score,Mittigated Risk - Consequence,Mittigated Risk - Likelihood,Agreed Completion Date,Responsible Owner - Name,Responsible Owner - Position
MR-DC4BC2DE35,1,Install remote valve-position instrumentation on the elevated-platform valve so its status can be confirmed from the control room without a manual climb.,,,,,,,2024-04-21,SYN-216fe5,Marine Coordinator
MR-DC4BC2DE35,2,Install gas detection sensors inside the control room to alarm before combustible gas can accumulate.,,,,,,,2024-05-19,SYN-e45c83,Operations Superintendent
MR-541F35DCD3,1,Require flame-resistant coveralls for all personnel working near the reboiler stack during startup.,,,,,,,2024-05-13,SYN-73485f,Marine Coordinator
MR-EA88A8AFAE,1,Require a self-contained breathing apparatus on standby for personnel entering the control room during gas testing.,,,,,,,2024-06-07,SYN-5028bb,HSE Advisor
MR-3E1B346961,1,Revise the job safety analysis template to require a documented review of hazard controls before work begins.,,,,,,,2024-07-11,SYN-6fbaa8,HSE Advisor
MR-3E1B346961,2,"Put a written open hole work procedure in place, and make sure platform crews know where to find it before starting that task.",,,,,,,2024-07-17,,
MR-2B8915895B,1,Replace the local-only alarm panel with a remote-annunciating alarm system so the compressor alarm no longer requires a manual silence step at the unit.,,,,,,,2024-08-18,SYN-b3d7a4,HSE Advisor
MR-95D3A0DF89,1,Add a mechanical stop that halts the traveling block before it can strike the crown block.,,,,,,,2024-08-28,,
MR-9CA6336D23,1,Fit the load hook with a self-latching mechanism so a hand is never needed to hold slack chain in place at the throat.,,,,,,,2024-08-07,SYN-deb6f3,Marine Coordinator
MR-FE6D8725C0,1,Shield the reboiler exhaust stack with thermal insulation so its surface temperature can no longer ignite glycol vapor released nearby.,,,,,,,2024-07-20,SYN-13401d,Operations Superintendent
MR-66323D4481,1,Install remote valve-position instrumentation on the elevated-platform valve so its status can be confirmed from the control room without a manual climb.,,,,,,,2024-09-03,SYN-4a0122,Operations Superintendent
MR-EAD879EE13,1,Require insulated gloves for personnel adjusting the compressor discharge cooler piping during operation.,,,,,,,2024-10-16,SYN-43de7a,HSE Advisor
MR-7FB3A6EB95,1,Retrain riggers on proper hook inspection and load chart limitations and document completion.,,,,,,,2024-09-09,SYN-e56eb6,Marine Coordinator
MR-7FB3A6EB95,2,"Put a written open hole work procedure in place, and make sure platform crews know where to find it before starting that task.",,,,,,,2024-10-15,SYN-1f6160,Operations Superintendent
MR-810CCED8D3,1,"Reposition the flare vent outlet so prevailing gas flow is directed clear of any nearby ignition sources, including engine exhaust stacks.",,,,,,,2024-10-08,SYN-7adf0a,Operations Superintendent
MR-810CCED8D3,2,"Add the still column to the facility's periodic internal-inspection rotation, with a defined maximum interval between inspections.",,,,,,,2024-10-28,SYN-26cb2d,Operations Superintendent
MR-BEE3812A7B,1,"Install a secondary rupture disc downstream of the primary relief device on the compressor discharge cooler, calibrated to activate before the primary device reaches its rated pressure.",,,,,,,2024-10-15,SYN-a34074,Marine Coordinator
MR-BEE3812A7B,2,Establish a training program for glycol handling personnel that covers how hazards change as the material shifts from its liquid state to its vapor state.,,,,,,,2024-11-27,SYN-356985,HSE Advisor
MR-BC257DE821,1,Upgrade the pipe-spinning tool used on the rig floor to a jaw design that cannot close unless a tubular is actually seated between the jaws.,,,,,,,2024-11-19,SYN-f6136c,Marine Coordinator
MR-F09F703FE8,1,Upgrade the pipe-spinning tool used on the rig floor to a jaw design that cannot close unless a tubular is actually seated between the jaws.,,,,,,,2024-12-02,SYN-3cf771,Production Foreman
MR-C06488C418,1,Require a documented hazard and operability review before commissioning any change to the ballast or bilge system.,,,,,,,2024-12-10,SYN-137c2b,Operations Superintendent
MR-1431DEA19D,1,"Install a secondary rupture disc downstream of the primary relief device on the compressor discharge cooler, calibrated to activate before the primary device reaches its rated pressure.",,,,,,,2024-11-17,SYN-b1a080,Facility Engineer
MR-DF92CC9ABE,1,"Replace the compressor discharge run with piping rated for current operating pressure and service conditions, retiring the original carbon-steel section entirely.",,,,,,,2025-01-27,SYN-bb2f07,Operations Superintendent
MR-D4F1F004BD,1,Upgrade the pipe-spinning tool used on the rig floor to a jaw design that cannot close unless a tubular is actually seated between the jaws.,,,,,,,2025-01-02,SYN-86040c,Marine Coordinator
MR-5703306589,1,"Install a secondary rupture disc downstream of the primary relief device on the compressor discharge cooler, calibrated to activate before the primary device reaches its rated pressure.",,,,,,,2025-03-01,SYN-e305a9,HSE Advisor
MR-8369FC6B79,1,Require supervisors to conduct a documented pre-lift briefing that reviews the rigging plan and load chart before any lift begins.,,,,,,,2025-02-23,SYN-a9f473,Marine Coordinator
MR-CA45A73E8A,1,Relocate the control panel outside the enclosed control room so personnel can monitor it without entering during normal operation.,,,,,,,2025-05-12,SYN-1c44b9,Operations Superintendent
MR-187B12B4E9,1,"Reposition the flare vent outlet so prevailing gas flow is directed clear of any nearby ignition sources, including engine exhaust stacks.",,,,,,,2025-04-07,SYN-f235a1,HSE Advisor
MR-3F275BD902,1,Upgrade the pipe-spinning tool used on the rig floor to a jaw design that cannot close unless a tubular is actually seated between the jaws.,,,,,,,2025-04-11,SYN-f14d2a,Marine Coordinator
MR-3F275BD902,2,Wire the emergency shutdown valve into the SCADA system so its open or closed state is visible in the control room without a field check.,,,,,,,2025-03-26,SYN-9e6205,Maintenance Supervisor
MR-D642572F0A,1,Shield the reboiler exhaust stack with thermal insulation so its surface temperature can no longer ignite glycol vapor released nearby.,,,,,,,2025-04-24,SYN-72b316,Facility Engineer
MR-D642572F0A,2,Add a maintenance program requirement that specifies inspection frequency for control panel enclosures.,,,,,,,2025-04-03,SYN-274e05,Operations Superintendent
MR-9F929C374F,1,Require a documented stop work authority briefing at the start of every shift changeover.,,,,,,,2025-07-12,SYN-a0a5b1,Production Foreman
MR-12F980165A,1,Install remote valve-position instrumentation on the elevated-platform valve so its status can be confirmed from the control room without a manual climb.,,,,,,,2025-06-01,SYN-b0a31b,HSE Advisor
MR-12F980165A,2,"Replace the compressor discharge run with piping rated for current operating pressure and service conditions, retiring the original carbon-steel section entirely.",,,,,,,2025-05-21,SYN-375400,Operations Superintendent
MR-2A92C8CB9C,1,Relocate the control panel outside the enclosed control room so personnel can monitor it without entering during normal operation.,,,,,,,2025-06-15,SYN-927d22,HSE Advisor
MR-2A92C8CB9C,2,Require steel-toed boots rated for wet deck conditions during all fluid transfer work.,,,,,,,2025-06-22,SYN-4d904e,Operations Superintendent
MR-ABCE0DFA91,1,Establish a training program for glycol handling personnel that covers how hazards change as the material shifts from its liquid state to its vapor state.,,,,,,,2025-07-29,SYN-c2234a,Operations Superintendent
MR-D3BC691928,1,Wire the emergency shutdown valve into the SCADA system so its open or closed state is visible in the control room without a field check.,,,,,,,2025-07-09,SYN-d50c0d,Production Foreman
MR-C58A631ED5,1,Require supervisors to conduct a documented pre-lift briefing that reviews the rigging plan and load chart before any lift begins.,,,,,,,2025-07-24,,
MR-C58A631ED5,2,Update the pre-job checklist to require confirmation of valve alignment before the fluid transfer sequence starts.,,,,,,,2025-07-16,SYN-3f488f,Marine Coordinator
MR-58B8A51FEC,1,Add a corrosion-monitoring checkpoint that requires inspection of internal weld seams each time the fire tube comes out for service.,,,,,,,2025-09-02,SYN-7d5b39,HSE Advisor
MR-58B8A51FEC,2,Require a full-face respirator for personnel performing coating removal near non-destructive inspection work.,,,,,,,2025-07-27,,
MR-CEE7170D6C,1,Relocate the control panel outside the enclosed control room so personnel can monitor it without entering during normal operation.,,,,,,,2025-10-02,SYN-06f31c,HSE Advisor
MR-9D421283D7,1,Require fall-protection harnesses with full tie-off for all scaffold work above the deck.,,,,,,,2025-09-15,,
MR-5077BB1D2D,1,Require supervisors to conduct a documented pre-lift briefing that reviews the rigging plan and load chart before any lift begins.,,,,,,,2025-09-16,SYN-54dbec,Facility Engineer
MR-5077BB1D2D,2,"Replace the compressor discharge run with piping rated for current operating pressure and service conditions, retiring the original carbon-steel section entirely.",,,,,,,2025-09-27,,
MR-45B50D666D,1,Replace the local-only alarm panel with a remote-annunciating alarm system so the compressor alarm no longer requires a manual silence step at the unit.,,,,,,,2025-11-16,SYN-fc985b,Facility Engineer
MR-7FEC1450D6,1,Relocate the control panel outside the enclosed control room so personnel can monitor it without entering during normal operation.,,,,,,,2025-10-30,SYN-f6240e,Operations Superintendent
MR-59B59D80B2,1,Wire the emergency shutdown valve into the SCADA system so its open or closed state is visible in the control room without a field check.,,,,,,,2025-10-20,SYN-7e8e63,Marine Coordinator
MR-B6B9DCE75D,1,Install remote valve-position instrumentation on the elevated-platform valve so its status can be confirmed from the control room without a manual climb.,,,,,,,2025-10-23,SYN-9441e1,Facility Engineer
MR-B6B9DCE75D,2,Install gas detection sensors inside the control room to alarm before combustible gas can accumulate.,,,,,,,2025-10-06,SYN-d9ffb7,Maintenance Supervisor
MR-3222283E24,1,Require a full-face respirator for personnel performing coating removal near non-destructive inspection work.,,,,,,,2025-11-30,SYN-ac5dd2,HSE Advisor
MR-4E35BC675A,1,Upgrade the switch gear enclosure with forced ventilation sized for the unit's full duty cycle.,,,,,,,2025-12-07,SYN-f243e4,Production Foreman
MR-BB41D101AC,1,"Install a secondary rupture disc downstream of the primary relief device on the compressor discharge cooler, calibrated to activate before the primary device reaches its rated pressure.",,,,,,,2025-10-31,SYN-2a9dbb,Facility Engineer
MR-F55F800C5A,1,"Replace the compressor discharge run with piping rated for current operating pressure and service conditions, retiring the original carbon-steel section entirely.",,,,,,,2025-12-04,SYN-d23fc3,Maintenance Supervisor
MR-ED78B5AFDC,1,"Give the compressor blowdown discharge its own dedicated relief path to atmosphere, isolated from other plant piping, so back-pressure from elsewhere cannot reach it.",,,,,,,2025-11-26,SYN-71ee51,Operations Superintendent
MR-F0E48F9B6F,1,Require chemical-splash goggles for personnel handling glycol during startup operations.,,,,,,,2025-11-27,SYN-56c4af,Marine Coordinator
MR-20295303B2,1,Wire the emergency shutdown valve into the SCADA system so its open or closed state is visible in the control room without a field check.,,,,,,,2025-11-27,SYN-ae258e,Operations Superintendent
MR-A426285FB6,1,"Fit the drawworks with an independent anti-collision system that halts hoisting before the traveling assembly reaches the crown block, separate from the primary control system.",,,,,,,2026-02-01,SYN-32ad28,Operations Superintendent
MR-F6E50EFEE0,1,Install gas detection sensors inside the control room to alarm before combustible gas can accumulate.,,,,,,,2025-12-20,SYN-b82679,Marine Coordinator
MR-83DFD4B170,1,Shield the reboiler exhaust stack with thermal insulation so its surface temperature can no longer ignite glycol vapor released nearby.,,,,,,,2026-01-17,SYN-f583de,Production Foreman
MR-A30ACDC700,1,"Fit the drawworks with an independent anti-collision system that halts hoisting before the traveling assembly reaches the crown block, separate from the primary control system.",,,,,,,2026-02-23,SYN-087dd1,HSE Advisor
MR-0E5E23C2F7,1,Require arc-rated clothing for personnel working inside the switch gear room.,,,,,,,2026-02-19,SYN-0cf922,Marine Coordinator
MR-53D591D5A0,1,Wire the emergency shutdown valve into the SCADA system so its open or closed state is visible in the control room without a field check.,,,,,,,2026-01-28,SYN-2cbf8a,Operations Superintendent
