Incident Number,Cause number,Cause Description,Cause type,Risk Management Cause,Human Factors  Cause, Failed PSM Framework Element
NS-8497899769,3,Human Error: Pilot error.,Root,,,3
NS-E9FFCBE6B5,1,A third party investigation determined that the Fisher 1051 Actuator on the produced water dump was not operating correctly. The actuator was not fully closing when receiving the pneumatic signal from the KTEC Level Controller.,Immediate,,,
NS-E9FFCBE6B5,2,"A third party investigation found two contributing causes of the pollution incident. The first being poor installation and system design of the KTEK Level Controller to the Fisher 1051 actuator. The second cause involves poor operating practices. The equipment was not monitored throughout the startup process. Furthermore, poor communication was exercised in reference",Underlying,,,
NS-E9FFCBE6B5,3,A third party investigation determined that the Fisher 1051 Actuator on the produced water dump was not operating correctly. The actuator was not fully closing when receiving the pneumatic signal from the KTEC Level Controller.,Root,,,
NS-656F70413F,1,"BSEE's incident investigation along with the review of Cobalt and Rowan independent incident reports revealed the primary cause of the incident was attributed to the failure to install the Seal Sub (Mud Pin) in the flange connection between the flex joint termination spool and the first riser joint (Joint #64). BSEE visually verified the absence of the Seal Sub (Mud Pin) during an on-site investigation on 19 July 2021, when the BOP was retrieved to the surface.",Immediate,,,
NS-656F70413F,2,"Based on the Cobalt and Rowan independent incident report findings, the possible contributing causes for the SOBM spill were listed as follows: 1) inadequate Rowan procedures and checklist for deployment of the BOP and riser; 2) Rowan subsea personnel did not recognize or had any previous experience that required the Seal Sub (Mud Pin) to be installed in the ""pin-up"" configuration in the flex joint termination spool on the Cameron LoadKing riser system; 3) insufficient handover during a crew change of Rowan Subsea personnel during a critical phase of the BOP and riser deployment; 4) Cobalt's failure to recognize what was causing the buildup of SOBM and/or drilling cuttings in the area of the first riser joint and flex joint termination spool throughout the ROV coverage; 5) the culture of top down command structure may have led to misinterpretation of what material was being spilled and it prevented rig personnel for suggesting alternative explanations; and 6) the low torque valves recorded when breaking riser Joint #64 bolts revealed that the bolts were under-torqued when it was made up to the flex joint termination spool during BOP#2 deployment that provided a migration pathway of the SOBM into offshore waters.",Underlying,,,
NS-656F70413F,3,"BSEE's incident investigation along with the review of Cobalt and Rowan independent incident reports revealed the primary cause of the incident was attributed to the failure to install the Seal Sub (Mud Pin) in the flange connection between the flex joint termination spool and the first riser joint (Joint #64). BSEE visually verified the absence of the Seal Sub (Mud Pin) during an on-site investigation on 19 July 2021, when the BOP was retrieved to the surface.",Root,,,
NS-F1B9AA531C,1,"Equipment Failure -Inadequate preventive maintenance: BSEE found the operator’s inspection and maintenance of the coolers tubing was inadequate to prevent loss of integrity, thereby allowing a gas leak.",Immediate,,,
NS-F1B9AA531C,2,"Equipment Failure - Flawed equipment design or construction: The compressor engine’s exhaust system is located on the top of the Gas Cooling Fan Tower creating an ignition source. Even though the muffler is wrapped with an insulation blanket, the final exhaust pipe is exposed and is within within the coolers.",Underlying,Inadequate Control Measures,,15
NS-F1B9AA531C,3,None,Root,,,
NS-9F7015D96B,1,The contactor switch for the close side of the BSR's was stuck in the closed position. ­,Immediate,,,
NS-9F7015D96B,2,There was no alarm or warning mechanism in place to contact switch was stuck in the closed position.,Underlying,,,
NS-9F7015D96B,3,The contactor switch for the close side of the BSR's was stuck in the closed position. ­,Root,,,
NS-DA9C4FA9ED,1,"The movement of the lubricator while in use caused the sharp edge of the lifting bracket to rub against the nylon sling and chafe to the point that it parted. Although the lubricator was equipped with a lifting bracket designed for use with a two part sling, the e-line operator elected to utilize a nylon sling.",Immediate,,,
NS-4955485885,1,Equipment Failure: Inadequate equipment inspection. A loose tubing fitting between the flow element and the isolation valve went undetected prior to opening the valve. The fitting may have been loose due to improper installation or vibration.,Immediate,Inadequate Control Measures,,15
NS-4955485885,2,Work Environment: Not aware of hazards/Inadequate PPE: Shell failed to recognize possibility of a leak from the weep hole. The possibility should have been recognized in the JSA and proper PPE should have been worn for the job.,Underlying,Hazard not Identified,,6
NS-4955485885,3,Equipment Failure: Inadequate equipment inspection. A loose tubing fitting between the flow element and the isolation valve went undetected prior to opening the valve. The fitting may have been loose due to improper installation or vibration.,Root,Inadequate Control Measures,,15
NS-0CB854E630,1,High angle kick out failed to work properly. Emergency Shut down failed to shut down crane.,Immediate,,,
NS-0CB854E630,2,External corrosion on control lever for boom.,Underlying,,,
NS-0CB854E630,3,High angle kick out failed to work properly. Emergency Shut down failed to shut down crane.,Root,,,
NS-03A04B99E2,1,There were several policy and procedure failures that should have been addressed prior to this incident. The following policies of both the lessee and the contract crane company that are listed would have possibly prevented this incident from occurring.,Immediate,,,
NS-03A04B99E2,2,"Lessee’s Fall Protection – Section D, Chapter 6, Version 2",Underlying,,,
NS-03A04B99E2,3,Scope This procedure establishes minimum requirements for working at unguarded elevated work locations that are 6 feet or greater above floor/grade level or that present a potential for fall and/or injury to personnel. This procedure applies to all employees and contract personnel.,Root,,,
NS-1AD6923A55,1,Boom cable parted,Immediate,,,
NS-1AD6923A55,2,Boom cable worn and rusted,Underlying,,,
NS-1AD6923A55,3,Weight indicator was not reliable,Root,,,
NS-027FB14F2D,1,The cause of this incident was an apparent build,Immediate,,,
NS-027FB14F2D,2,n/a of oxygen in a cavity of the anode.,Underlying,,,
NS-027FB14F2D,3,The cause of this incident was an apparent build,Root,,,
NS-44502BDD7E,1,Ensure master dump valve is closed and locked.,Immediate,,,
NS-44502BDD7E,2,(1) Master dump valve not closed and locked. (2) Improper handover at tour change to relay,Underlying,,,
NS-44502BDD7E,3,Ensure master dump valve is closed and locked.,Root,,,
NS-4F96D8DFE2,1,Equipment failure: Inadequate preventive maintenance- The operator did not perform the recommended repairs that were noted on the annual crane inspection that specifically identified the major corrosion of the cable rollers.,Immediate,Inadequate Control Measures,,15
NS-4F96D8DFE2,2,"Equipment failure: Inadequate preventive maintenance- Due to the major corrosion on the cable roller, the cable roller was able to break off and fall to the deck below.",Underlying,Inadequate Control Measures,,15
NS-4F96D8DFE2,3,Human Performance Error: Not aware of hazards- Failure to secure the area underneath the crane prior to starting operations and preventing personnel from entering the hazard areas.,Root,Hazard not Identified,"Mistake - Information Issue -too little, missing or inaccesible information",3
NS-0E767F8E4B,1,"Prior to performing the task, the Operator failed conducted to mitigate the hazards of rig sway due condition.",Immediate,,,
NS-0E767F8E4B,2,to ensure a Risk Assessment was to rig elevation and poor weather,Underlying,,,
NS-0E767F8E4B,3,The Operator failed to ensure Drill Crew personnel identified and modified the JSA to mitigate the hazards of poor weather conditions and rig elevation. This allowed substantial sway of the rig causing the bails to spread and the elevators to roll out and fall to the rig floor injuring the IP's left thumb and finger.,Root,,,
NS-062423C5CC,1,"Damage to the master valve alone would not have resulted in a LWC, as the MMS requires additional barriers to flow. Such failures of mechanical integrity could include: a failure of the production tubing below the SCSSV, a failure of the production casing, or a failure of the packer integrity. Stone has developed a theory that a 2' section of 1/4"" SS control line to the SCSSV was flattened as the platform was toppled during the hurricane. It is believed that as the control line tubing was flattened, it expelled 11 cc of hydraulic fluid into the SCSSV which caused the SCSSV to open. The flattened section of tubing also sealed the hydraulic pressure in the valve, allowing it to remain in the open position even after the hydraulic pressure was bled off at the needle valve by a diver. The theory is supported by the diver opening the closed needle valve and observing the release of hydraulic fluid when the valve was opened. Since last production of this well was in July of 2005, and the SCSSV was being used as a tubing plug (with surface control rendered inoperative), the diver should have found the needle valve in the closed position with zero hydraulic pressure on the control line. The subject well has a history of sand production, and Stone feels that the LWC may have occurred though the open or partially open SCSSV (due to the flattened control line) when a sand bridge broke loose in the tubing allowing the well to flow uncontrollably.",Immediate,,,
NS-062423C5CC,2,Human error may be a possible cause of the loss of possibility that the control line needle valve may well control. There is a have been closed with hydraulic pressure remaining on the control line. This remaining in the open position.,Underlying,,,
NS-062423C5CC,3,"Damage to the master valve alone would not have resulted in a LWC, as the MMS requires additional barriers to flow. Such failures of mechanical integrity could include: a failure of the production tubing below the SCSSV, a failure of the production casing, or a failure of the packer integrity. Stone has developed a theory that a 2' section of 1/4"" SS control line to the SCSSV was flattened as the platform was toppled during the hurricane. It is believed that as the control line tubing was flattened, it expelled 11 cc of hydraulic fluid into the SCSSV which caused the SCSSV to open. The flattened section of tubing also sealed the hydraulic pressure in the valve, allowing it to remain in the open position even after the hydraulic pressure was bled off at the needle valve by a diver. The theory is supported by the diver opening the closed needle valve and observing the release of hydraulic fluid when the valve was opened. Since last production of this well was in July of 2005, and the SCSSV was being used as a tubing plug (with surface control rendered inoperative), the diver should have found the needle valve in the closed position with zero hydraulic pressure on the control line. The subject well has a history of sand production, and Stone feels that the LWC may have occurred though the open or partially open SCSSV (due to the flattened control line) when a sand bridge broke loose in the tubing allowing the well to flow uncontrollably.",Root,,,
NS-D9250CEAA5,1,No or inadequate job instructions provided: The lessee conducted a pre-job safety meeting with the operators and the construction crew but failed to review the locations of where the crews would be located during the decommissioning operations. Having knowledge of where the crews were located would have prevented the contractors from cutting the pipe that caused the injury.,Immediate,,,
NS-D9250CEAA5,2,"Management Systems, no or inadequate hazard analysis/written job procedures. The Job Safety Analysis (JSA) failed to address the hazards of due to stored energy.",Underlying,,,
NS-2D7CF0B375,1,Supervision – The operator did not enforce the use of push poles to guide suspended loads as per their policy - Safe Operating Practices (TSOP-PCD-50) Material Handling.,Immediate,,,17
NS-2D7CF0B375,2,Human error performance – IP used his hands to guide the load instead of using push poles.,Underlying,,,3
NS-2D7CF0B375,3,Human error performance - IP was not aware of the pinch between the crane’s cable and sheave.,Root,Hazard not Identified,"Mistake - Information Issue -too little, missing or inaccesible information",3
NS-E8C9AD866B,1,"A loss of hydraulic system pressure due to mechanical failure of a relief valve on the main hoist, caused the undesired sequence of events. A drastic change in chemical composition and/or temperature of the hydraulic fluid caused the relief valve to crack and malfunction on the main hoist.",Immediate,,,
NS-E8C9AD866B,2,"Corrosion on the internals of the hydraulic relief valve failed, causing a loss of hydraulic pressure allowing the load attached to the",Underlying,,,
NS-E8C9AD866B,3,"A loss of hydraulic system pressure due to mechanical failure of a relief valve on the main hoist, caused the undesired sequence of events. A drastic change in chemical composition and/or temperature of the hydraulic fluid caused the relief valve to crack and malfunction on the main hoist.",Root,,,
NS-B2ECF10894,1,Human Performance Error: Inattention to task - The IP,Immediate,, Competency -  Lapse of Competency,3
NS-B2ECF10894,2,IP lost track of his the MCC. The injury was likely factor was a failure to lost track of his surroundings,Underlying,,,
NS-B2ECF10894,3,Human Performance Error: Not aware of hazards – Cantium associated with the job prior to performing work.,Root,Hazard not Identified,"Mistake - Information Issue -too little, missing or inaccesible information",3
NS-5C05C29868,1,The CE failed to properly observe the walkway crane cab. The CE stepped off the edge of the the CE to step wrong and over extend his left,Immediate,,,
NS-5C05C29868,2,was taken and indicated tears and a to repair. The CE will miss before attempting to walk towards the walkway into the containment pan causing knee.,Underlying,,,
NS-5C05C29868,3,"As per the Job Safety Analysis, the CE should have utilized the hand held radio before attempting to climb the ladder to communicate with the crane operator;",Root,,,
NS-A931BA4FA3,1,"Human Performance Error: Inattention to task diameter of 11.00 inches, was installed onto ring, which had a diameter of 11.44 inches.",Immediate,,,3
NS-A931BA4FA3,2,"Human Performance Error: Inattention to task working load limit of the casing lifting pin section of stuck casing with the main hoist,",Underlying,,,3
NS-A931BA4FA3,3,Human Performance Error: Inattention to task,Root,, Competency -  Lapse of Competency,3
NS-035A281351,1,"Contract employee was not using fall protection equipment. Contract employee did not follow the JSA or Apache's Fall Protection Policy, which states 100% tie off when the tisk of a fall is present.",Immediate,,,
NS-035A281351,2,Employee lacked the understanding of Apache Corporation's Offshore Safety Orientation Handbook.,Underlying,,,
NS-035A281351,3,"Contract employee was not using fall protection equipment. Contract employee did not follow the JSA or Apache's Fall Protection Policy, which states 100% tie off when the tisk of a fall is present.",Root,,,
NS-B5A14F24ED,1,c• LACT charge pump motor bottom bearing failed catastrophically and was coinpletely destroyed. The bearing had spun on the shaft andthere was evidence that the rotor shoulder had spun against the inner race. The bell housing was cracked in several places. The top bearing and bottom bearings were noted to be 6300 series ball and cage bearings. The wear on the lower bearing indicated excessive presure exerted towards the coupling end eventually leading to failure. During advanced stages of failure the bearing integrity was compromised allowing for axial movement of the rotor an c~eating excessive groove of the rotor shaft shoulder into the inner race resulting in metal to metal contact. These axial and radial forces were transmitted to the pump shaft and the mechanical seal through the rigid coupling.,Immediate,,,
NS-7AC5B86665,1,"Electrical problems with the ships generators caused the loss of four of the rig's eight thrusters. -Driller activated the EDS upon the ship reaching the ""Red Zone.""",Immediate,,,
NS-7AC5B86665,2,N/A,Underlying,,,
NS-7AC5B86665,3,"Electrical problems with the ships generators caused the loss of four of the rig's eight thrusters. -Driller activated the EDS upon the ship reaching the ""Red Zone.""",Root,,,
NS-26F655878E,1,Driller did not look to verify the bails and the elevators were inside the derrick before moving the block upwards. The drawworks transmission was in high gear creating a smaller time frame to free float the elevators into a vertical position under the top drive.,Immediate,,,
NS-E727749B4E,1,"Based on BSEE's investigation and BP's internal investigation, the following findings were identified: The correct seals were not installed due to personnel not having knowledge of the importance of the seals, poor oversight by BP employees, and the technician and BP employees being unaware of the installation procedures. Also, there was no evidence found that BP had a process in place for managing third party equipment owners doing work on their facilities. The technician did not have sufficient training prior to performing work on Atlantis and did not follow the OEM (original equipment manufacturer) procedures while installing the transmitter. The gas detection system did not alarm and no ESD (emergency shutdown) was activated during the time of the gas release. Personnel did not recognize the gas release as an emergency and the emergency response procedure was not followed as per their training, drills, and assessments. Initiating the general alarm or the ESD was not considered during the event which prolonged the gas release putting the safety of all on board at risk. In 2011 and 2015, F&G (Fire and Gas) assessments were performed on Atlantis and both assessments recommended that additional gas detection sensors be installed on the facility. Also, the lack of speak-up and trust between BP leadership and BP technicians as well as the safety culture on Atlantis were all cited as contributing to the response by personnel to the gas release.",Immediate,,,
NS-09DCDB4EE6,1,Slow response of the hydraulic choke operator.,Immediate,,,
NS-09DCDB4EE6,2,"occurrances. There was no pollution, Once it was realized during the operation by the supervisor that the choke operator was too slow to react to gas kicks, the job was not shut down.",Underlying,,,
NS-09DCDB4EE6,3,Slow response of the hydraulic choke operator.,Root,,,
NS-4538E59E85,1,"Although it was not determined what caused the LSH on the glycol unit, platform start- up problems that could have contributed to the LSH included the glycol pump being shut down even though there was a continued influx of fluid to the glycol unit, overpressure in the system resulting in the glycol unit's high fluid level, or the glycol unit's media being cool during shut down then expanding subsequent to start up resulting in an increased flow and level. It was determined that the source of the fuel for the fire was a leaking Temperature Safety Element (TSE) on the glycol unit, and a pressure regulator located on the contactor.",Immediate,,,
NS-4538E59E85,2,None.,Underlying,,,
NS-4538E59E85,3,"Although it was not determined what caused the LSH on the glycol unit, platform start- up problems that could have contributed to the LSH included the glycol pump being shut down even though there was a continued influx of fluid to the glycol unit, overpressure in the system resulting in the glycol unit's high fluid level, or the glycol unit's media being cool during shut down then expanding subsequent to start up resulting in an increased flow and level. It was determined that the source of the fuel for the fire was a leaking Temperature Safety Element (TSE) on the glycol unit, and a pressure regulator located on the contactor.",Root,,,
NS-7A2149ED8B,1,"Port harmonic filter had failed and a dead short between phases at the port harmonic filter fuses occurred, causing an upset on the 11KV power bus. Emergency bus supply to essential services was interrupted when the circuit breakers that maintain this supply tripped. The cause of this is subject to further ongoing investigation. The essential services bus powers the main fuel pumps for the main generators and the 2 main generators connected to the bus where unable to deliver the required load of the thrusters that were in-service. A sequence of load shedding and under/over frequency events were initiated with the generators having a fuel rack setting of 100% but insufficient fuel being supplied to the engines. The generators eventually opened their breakers causing all 6 thrusters to drop offline. Following the black out event, the system restored itself normally from the dead bus position.",Immediate,,,
NS-7A2149ED8B,2,"Port harmonic filter had failed and a dead short between phases at the port harmonic filter fuses occurred, causing an upset on the 11KV power bus. Emergency bus supply to essential services was interrupted when the circuit breakers that maintain this supply tripped. The cause of this is subject to further ongoing investigation. The essential services bus powers the main fuel pumps for the main generators and the 2 main generators connected to the bus where unable to deliver the required load of the thrusters that were in-service. A sequence of load shedding and under/over frequency events were initiated with the generators having a fuel rack setting of 100% but insufficient fuel being supplied to the engines. The generators eventually opened their breakers causing all 6 thrusters to drop offline. Following the black out event, the system restored itself normally from the dead bus position.",Underlying,,,
NS-7A2149ED8B,3,"Port harmonic filter had failed and a dead short between phases at the port harmonic filter fuses occurred, causing an upset on the 11KV power bus. Emergency bus supply to essential services was interrupted when the circuit breakers that maintain this supply tripped. The cause of this is subject to further ongoing investigation. The essential services bus powers the main fuel pumps for the main generators and the 2 main generators connected to the bus where unable to deliver the required load of the thrusters that were in-service. A sequence of load shedding and under/over frequency events were initiated with the generators having a fuel rack setting of 100% but insufficient fuel being supplied to the engines. The generators eventually opened their breakers causing all 6 thrusters to drop offline. Following the black out event, the system restored itself normally from the dead bus position.",Root,,,
NS-AC571044DF,1,The CB inadvertently touched the kick plate with the high speed rotating head of the blasting nozzle to cause the injury to the CB's right foot. The CB failed to maintain a safe distance between the kick plate and the rotating head on the blasting nozzle.,Immediate,,,
NS-AC571044DF,2,The blasting nozzle produced 30 to 35 pounds of resistance that assisted in the CB losing control of the blasting nozzle once the rotating head came in contact with the kick plate.,Underlying,,,
NS-AC571044DF,3,The CB inadvertently touched the kick plate with the high speed rotating head of the blasting nozzle to cause the injury to the CB's right foot. The CB failed to maintain a safe distance between the kick plate and the rotating head on the blasting nozzle.,Root,,,
NS-124AB1E30F,1,Improper valve alignment allowed SOBM to be discharged Failure to follow procedure for transferring permitted,Immediate,,,
NS-124AB1E30F,2,Inadequate communication between tour change.,Underlying,,,
NS-124AB1E30F,3,Improper valve alignment allowed SOBM to be discharged Failure to follow procedure for transferring permitted,Root,,,
NS-C89F365F7E,1,"A. Information from Ankor's Employee Health, Safety, and Environmental Handbook states: -",Immediate,,,
NS-C89F365F7E,2,"Page 113, item 2: ""Heavy materials/equipment being transported offshore shall be labled to identify the 'weight' prior to being loaded onto the M/V."" - 1a. The operator's shorebase cargo manifest dated 4/9/2022, shows the total (gross) weight of several loads rather than the actual weights of each individual load. -",Underlying,,,
NS-C89F365F7E,3,"Page 143 Crane Safety states: ""It is Ankor's policy that all crane operations, maintenance and inspections shall comply with API-RP-2D current edition as per the federal registry."" - 2a. API-RP-2D 3.2.1 c states in part: ""The crane operator should verify that the hook - load is within the crane's applicable Onboard or Offboard Rated Load at the radius at which the load is to be lifted."" - 2b. The crane operator was using an assumed load weight of 12,000 - 14,000 pounds rather than verifying the actual weight of 20,300 pounds. The maximum rated capacity for this crane at a boom angle of 70 degrees was 15,000 pounds. The actual weight of the load greatly exceeded the lifting capacity of the boom. -",Root,,,
NS-774B359FC1,1,"A. The CWH attempted to adjust the wire while the wireline unit was still running and the wheel was in motion. Precaution of clamping the wire before attempting to adjust it had not been taken. B. The CWH crossed the hazard tape barrier and entered a prohibited area without proper authorization, in violation to the wireline company's policies. ­ C. The wireline company failed to document and review the potential risks and hazards associated with the wireline operations taking place on the Job Safety Analysis (JSA).",Immediate,,,
NS-774B359FC1,2,A. The CWH had not attended the company's wireline school and was not aware of certain company policies. B. At the time that the CHW struck his ring finger with a wrench the wireline crew had worked shifts averaging 18 hours in violation of the wireline company's maximum allowable work hours of 12 hours. C. The Wireline Supervisor failed to give incident.,Underlying,,,
NS-774B359FC1,3,"A. The CWH attempted to adjust the wire while the wireline unit was still running and the wheel was in motion. Precaution of clamping the wire before attempting to adjust it had not been taken. B. The CWH crossed the hazard tape barrier and entered a prohibited area without proper authorization, in violation to the wireline company's policies. ­ C. The wireline company failed to document and review the potential risks and hazards associated with the wireline operations taking place on the Job Safety Analysis (JSA).",Root,,,
NS-757D25E2C2,1,"The injury was caused by the free-fall of the fast line crane ball, which struck the IPdirectly on his left steel toe boot.",Immediate,,,
NS-757D25E2C2,2,The plastic and duct tape used to protect the wire performed on the crane boom was never removed and was at the time of investigation.,Underlying,,,
NS-757D25E2C2,3,The CO failed to comply with Stop Work Authority. rope while blast work was still present in the wire works,Root,,,
NS-D9E794D341,1,Work Environment – Hazardous Workspace. Storage and chemical tote tanks could have been moved to another area.,Immediate,,,6
NS-D9E794D341,2,Human Performance Error – Not following proper procedures. Written procedures in submitted documents clearly states to remove hydrocarbons prior to hot work commencing.,Underlying,Control Measures Not Implemented,Violation - Situational Violation,3
NS-D9E794D341,3,Supervision – Inadequate pre-job safety meeting. As cited in the W&T investigation report “This is a failure in site leadership issue. Interviews with both the Zealous Foreman and the W&T PIC found that no discussion or consideration was given to the two written requirements cited in the Zealous JSA and the W&T Hot Work Safety Checklist. Both of these documents provided instructions for the removal of the flammable chemicals from the area. The JSA is not a list of recommendations or simple guidelines. It gives task specific instructions on how to complete the job safely and it is the responsibility of the PIC and Task Supervisor (Construction Foreman) to ensure control measures or in place and effective.”,Root,Inadequate Control Measures,"Mistake - Information Issue -too little, missing or inaccesible information",17
NS-C282B498B8,1,"The eline wire rope was corroded and brittle which indicated the possible lack of wire rope preventative maintenance; therefore, the most probable cause of the electric line wire rope failure.",Immediate,,,
NS-919D6D3052,1,The Rowan investigation report stated that the probable cause of the accident was attributed to the injured Floorman not adhering to Rowan policies and procedures for mixing caustics.,Immediate,,,
NS-919D6D3052,2,"According to the Rowan investigation report, the following were listed as the contributing causes to the accident: 1) breakdown in communication and poor job hand over; 2) a specific Job Risk Analysis for mixing caustic materials with drilling mud was not completed; 3) personnel did not review Rowan's Rig Specific Procedure 3.4.1 for Mixing Caustics before initiating job; 4) the IP failed to don the proper personal protective equipment when handling hazardous materials; 5) inadequate maintenance of the caustic hopper; 5) equipment checks were not performed prior to initiating the job; 6) management failed to follow hopper); and 7) failure to exercise",Underlying,,,
NS-919D6D3052,3,The Rowan investigation report stated that the probable cause of the accident was attributed to the injured Floorman not adhering to Rowan policies and procedures for mixing caustics.,Root,,,
NS-EE419CED17,1,"According to the Transocean Level II Investigation Report, the probable causes of the incident were listed as follows: 1) a safety time out was not utilized given the tasks and hazards had changed related to the tasks; 2) failure to follow established Transocean work risk assessment procedures; and 3) the absence of a procedure or work risk assessment associated with the utility cart positioning.",Immediate,,,
NS-EE419CED17,2,Possible contributing causes for the incident stated in the Transocean Level II,Underlying,,,
NS-EE419CED17,3,"Investigation Report include the following: 1) use of the loading arms and the pipe transfer conveyor were considered as ""normal operations"" that operates in an ""Auto Sequence"" mode; 2) failure to follow the job tasks stated in the written risk assessment; 3) an interruption during the operations of picking up the BHA to conduct running riser activities that led to an inadequate number of crew members required to conduct both operations; 4) crew members failed to follow the established Transocean management of change process since operations that required five crew members but only two crew members were available; 5) inadequate handoff during crew changes after meal breaks; 6) failure to implement the ""THINK"" process and to recognize the hazard conflict between the location of the utility cart relative to transfer conveyor pipe load arms; 7) the ""watchmen"" did not adequately inspect the work area and verify that transferring drill pipe operations with the loading arms was safe to resume; and 8) the lack of procedures or hazard assessment related to the utility cart positioning.",Root,,,
NS-7BA20A5647,1,Work Environment- Congested hazardous workspace: The work area was located in a cramped portion of the deck with three runs of piping of various sizes and several tubing runs. This made it difficult for equipment assembly without the use of mechanical lifting devices.,Immediate,,,6
NS-7BA20A5647,2,"Management Systems - Inadequate hazard analysis: Although the Job Safety Analysis (JSA) identified “pinch points” as a work hazard for the job, this specific pinch point hazard was not recognized.",Underlying,Hazard not Identified,,8
NS-7BA20A5647,3,Human error - Poor Hand Placement: The body position of the IP holding the alignment bar led to poor hand placement,Root,Inadequate Control Measures,,3
NS-A16A27B76D,1,"The cause of the incident is the prolonged contact the individuals had with the Zinc Bromide. At first, the injured parties were unaware that they had even come in contact with the ZnBr.",Immediate,,,
NS-A16A27B76D,2,The prolonged contact with the Zinc Bromide contributed to the severity of the burns that the injured parties received.,Underlying,,,
NS-A16A27B76D,3,"The cause of the incident is the prolonged contact the individuals had with the Zinc Bromide. At first, the injured parties were unaware that they had even come in contact with the ZnBr.",Root,,,
NS-3E3D017B45,1,The probable causes of the accident are as follows: The inspection of the Dril-Quip S-60/Multi Thread Connectors indicates that the Anti- Rotation Vertical Slot Keys were improperly installed . The Anti- Rotation Vertical Slot Keys when properly installed provide significant torsional resistance to assist in maintaining connector preload when subjected to open water environmental conditions. Most of the Anti-Rotation Slot Keys were not driven deep enough into the slot of the pin end to achieve full engagement. Many were less than half engaged. This is particularly apparent upon Dril-Quips inspection of the pin of joint number 11 and the box of joint number 3 which are the two connectors which backed out. The teeth of the anti-rotation keys for each connector had minimal engagement (10-15%) and thus did not provide the normal margin of additional safety to maintain torque and preload. The 22 inch casing was also exposed to severe environmental conditions while being suspended below the false rotary at the BOP cart . The currents ranged from 1.0 to 1.6 knots. A winter front moved through the area and the sea state was over 10 feet for a portion of the time the 22 inch casing was suspended from the BOP transporter in open water. These open water conditions imparted enough cyclic action and possible vortex induced vibrations to cause the connections to back out.,Immediate,,,
NS-3E3D017B45,2,"The contributing causes of the accident are as follows: The casing string was suspended for approximately 74 hours before it was detected that the 22 inch casing had parted (January 26 at 0800 hours began picking up 22 inch casing through January 29 at 1016 hours when the ROV found bottom three joints missing). The connectors were made up by the Weatherford casing crew with intermittent supervision by the Dril-Quip Service Tech. Anti-rotation Vertical Slot Keys were made up by a combination of the Dril-Quip Service Tech, Weatherford casing crew, and rig crew. The Dril-Quip Service Techs split time between running equipment at the main rotary, checking equipment as it was unloaded from the boat, and running equipment at the BOP cart.",Underlying,,,
