incident,cause,text,xw_element,llm_cause_category,llm_psm_element,llm_confidence,llm_passes_agreed,llm_reason
MC-773-20250716-1810,4,"Work environment: Environmental factors- Due to the age of the TLQ and the natural marine environments, corrosion had become present on the tab welds, along with age- related fatigue.",6,Management Systems,15,high,3,Corrosion and age-related fatigue on tab welds indicate inadequate inspection and maintenance of aging equipment in a marine environment.
MC-773-20250716-1810,5,"Management Systems: Improper management system for inspections- Due to the construction method and original intent of the TLQ being temporary, improper visual inspection criteria were used. Visual inspection failed to identify hazards associated with the structural support of the TLQ and walkways.",8,Management Systems,15,high,3,"Improper visual inspection criteria were used, and visual inspection failed to identify hazards, indicating a deficiency in the inspection management system itself rather than execution of an existing control."
VR-38-20250712-1530,1,"Human Performance Error: Inattention to task diameter of 11.00 inches, was installed onto ring, which had a diameter of 11.44 inches.",3,Human Performance Error,17,high,3,Inattention during task execution indicates failure of work control and task risk management to prevent installation of wrong-diameter component onto ring.
VR-38-20250712-1530,2,"Human Performance Error: Inattention to task working load limit of the casing lifting pin section of stuck casing with the main hoist,",3,Human Performance Error,17,high,3,Inattention to task working load limit indicates failure to execute an existing work control—the load limit was a known constraint that should have been observed during the lifting operation.
WR-249-20250428-1022,1,"Equipment Failure: Capacity of Equipment Exceeded/Inadequate Equipment Used - The incident would have been prevented had the correct pressure safety valve been installed on the bottle. Pending the correct operation of the valve, overpressurization would have been prevented.",15,Equipment Failure,16,high,3,"The correct pressure safety valve was not installed on the bottle; management of safety critical devices would have ensured the right device was specified, procured, and installed to prevent overpressurization."
WR-249-20250428-1022,3,Management Systems: No or Inadequate Hazard Analysis/Written Job Procedure - The JSA for the operation failed to identify the hazards in conjunction with over pressurization. Murphy does not have a formal written procedure with detailed guidelines on nitrogen bottle filling operations. A formal procedure as well as proper hazard identification would have allowed for detection of the incorrect valve that was installed.,8,Management Systems,6,high,3,"The JSA failed to identify the hazards in conjunction with over pressurization, and hazard identification would have allowed for detection of the incorrect valve that was installed."
EW-910-20260209-0608,1,"Human Performance Error – Failure to follow proper procedures The lean glycol suction valve associated with the active, outboard glycol pump remained in the closed position following pump changeover operations, preventing normal glycol circulation through the glycol regeneration system. Failure to verify valve lineup and restore normal circulation conditions following pump changeover activities contributed to upset conditions within the glycol regeneration system and subsequent hydrocarbon release in the vicinity of the glycol reboiler.",3,Human Performance Error,17,high,3,Failure to verify valve lineup and restore normal circulation conditions following pump changeover activities represents a work control execution failure—a required task was not performed during a defined operational procedure.
EW-910-20260209-0608,4,"Management Systems – Inadequate hazard analysis / failure to identify system vulnerabilities Historical operational issues involving vapor loading, liquid carryover, entrained hydrocarbons within the glycol system, and possible vent restrictions associated with the still-column exhaust configuration had previously been identified within the glycol regeneration system. These conditions contributed to increased susceptibility for pressure buildup and hydrocarbon release within the glycol regeneration process.",8,Management Systems,6,high,3,"Historical operational issues involving vapor loading, liquid carryover, and vent restrictions had previously been identified but system vulnerabilities were not adequately analyzed to prevent pressure buildup and hydrocarbon release."
GA-A 244-20240207-0855,3,Work Environment: Poor layout or design of work area. Prior to job equipment was not inspected. Prior to job improper selection of safety equipment,6,Management Systems,17,high,3,Equipment not inspected prior to job and improper selection of safety equipment represent failures in work control and task risk management procedures that should have been executed before work commenced.
GA-A 244-20240207-0855,4,Communication: Inadequate communication between operator and platform personnel/contractors.,9,Communication,10,high,3,Inadequate communication between operator and platform personnel/contractors concerns the management of operational interfaces where different parties must coordinate during task execution.
GA-A 244-20240207-0855,5,Management Systems: No bridging documents between operators and contractors.,8,Management Systems,18,high,3,No bridging documents between operators and contractors indicates inadequate contractor management and coordination protocols.
GB-259-20250602-2230,3,Work Environment: No lockout/tagout. The Transocean Second Engineer did not isolate the energy to the AHU using the lockout/tagout system.,6,Work Environment,17,high,3,The Second Engineer did not execute the lockout/tagout control that should have been required by the work control system to isolate energy before work on the AHU.
GB-259-20250602-2230,5,Management Systems: Inadequate hazard analysis. A Transocean Hazard Identification Prompt Card was completed for identifying line of fire hazards where personnel could be caught by moving equipment but was not followed,8,Management Systems,6,high,3,"A Hazard Identification Prompt Card was completed for identifying line of fire hazards but was not followed, indicating inadequate hazard analysis and failure to properly execute hazard identification and risk assessment."
GB-959-20250803-1934,1,"Equipment Failure: Capacity of the equipment exceeded. An unforeseen high drill bit torque event while drilling salt that led to a top drive stall condition and torque impulse which exceeded the 120 KSI, 8.125-inch x 4.75-inch DS drill pipe connection limits.",15,Equipment Failure,6,high,3,"An unforeseen high drill bit torque event while drilling salt was not anticipated, indicating the hazard of salt-formation torque spikes and their potential to exceed drill pipe connection limits was never identified in the hazard identification and risk assessment process."
GB-959-20250803-1934,2,"Equipment failure: Capacity of equipment exceeded. The failure was traced to joint 7 that was situated below the rotary on the 6.625-inch 34 lbs/ft V-150,120 KSI, DS pin connection. The DS connection separated due to a high-torque event placing excessive load on the DS connection. As a result, it caused severe pin thread damage, pin nose deformation and box swell reducing integrity of the connection and allowing separation under tension-weight and dynamic loadings.",15,Equipment Failure,6,high,3,"The equipment capacity was exceeded during a high-torque event, indicating the hazard of excessive loading on the DS pin connection was not identified or assessed during design or operational planning."
GB-959-20251014-0510,1,Management System: Inadequate hazard analysis. Control measures for this operation involving the aerial lift man-riding work basket were ineffective or not implemented. The crew failed to recognize the hazards associated with using the aerial lift man-riding work basket as a lifting operation by pulling downward with rope. There was no lift plan in place for this operation.,8,Management Systems,6,high,3,"The crew failed to recognize the hazards associated with using the aerial lift man-riding work basket and there was no lift plan in place, indicating inadequate hazard identification and risk assessment for this operation."
GB-959-20251014-0510,3,Human Performance Error: Not aware of hazards. The AD confirmed that he was aware of designed anchor points but had no memory of the event. The AD tied off to an open-ended handrail instead of the designated anchor point inside the man-riding work basket.,3,Management Systems,17,high,3,"The AD had knowledge of designated anchor points but failed to use them, selecting an inadequate alternative instead; this represents a work control failure where the required control (use of designated anchor point) existed but was not executed."
GB-959-20251014-0510,5,"Management System: Inadequate management of change procedures. There was no Management of Change (MOC) performed when the radio remote controls failed to operate, resulting in the operator control station becoming the primary means of control, thus exposing the bypass functions to misuse. Additionally, there was no physical method of control to prevent unauthorized use of bypasses or overrides. The OEM manual and control panel signage state the deck control panel or operator station",8,Management Systems,12,high,3,"No Management of Change (MOC) was performed when radio remote controls failed, leaving bypass functions exposed to misuse without physical controls to prevent unauthorized use."
GB-506-20240320-0700,1,"Human Performance Error: The BSEE Incident Investigation Team determined that the probable cause of the incident was due to human error/poor judgement by the Schlumberger Pump Operator, the IP, who attempted to jump across a 4-foot gap to the Coil Tubing Reel Platform from the Coil Tubing Cabin.",3,Management Systems,17,high,3,"The operator attempted to jump across a 4-foot gap, indicating absence of proper work control measures, safe access procedures, or task risk management that should have either prevented this unsafe act or provided alternative safe means of access."
GB-506-20240320-0700,2,"Management Systems: BSEE’s investigation into this incident identified that the Schlumberger Pump Operator, the IP, failed to follow working at heights requirements as stated in the Working at Heights section of the Job Safety Analysis that included making use of a ladder of adequate height.",8,Management Systems,17,high,3,The operator 'failed to follow working at heights requirements as stated in the Job Safety Analysis' - a control that existed but was not executed during task performance.
GC-432-20250217-1645,2,Equipment failure- inadequate preventive maintenance. performed by a subcontracted third-party agency.,15,Management Systems,18,high,3,Inadequate preventive maintenance performed by subcontracted third-party agency indicates failure in contractor selection and management oversight
GC-432-20250217-1645,4,Supervision- Inadequate supervision on maintenance checks and pre-use inspections. Work environment – Hoist operator could not maintain riding event.,17,Management Systems,15,high,3,Inadequate supervision on maintenance checks and pre-use inspections indicates a failure in the inspection and maintenance management system.
GC-584-20241225-1330,1,Human performance error – IP1 and IP2 rushed to get the job done. They were not aware of the hazards of the plate falling from the lifting device prematurely. Management systems – The JSA did not have a proper hazard analysis. The JSA did not have a proper management of change. There was inadequate stop work authority.,3,Management Systems,6,high,3,"The JSA did not have a proper hazard analysis, indicating the hazard of plate falling from the lifting device was never identified"
GC-584-20241225-1330,2,Work environment – The walkway was blocked by the plate not allowing IP2 and the other roustabout enough room to pass with the pallets.,6,Work Environment,17,high,3,The blocked walkway created a hazardous work condition that should have been identified and controlled through work control and task risk management before personnel were assigned to move pallets in that space.
GC-868-20250508-0430,1,Equipment failure – flawed design of the storage rack,15,Equipment Failure,12,high,3,Flawed design of the storage rack represents a defect that should have been identified and corrected during design review and change management processes before implementation.
GC-868-20250508-0430,3,Management system – Inadequate hazard analysis,8,Management Systems,6,high,3,Statement explicitly identifies 'Inadequate hazard analysis' which directly corresponds to the hazard identification and risk assessment element.
GI-47-20250425-1330,1,HUMAN ERROR: NOT AWARE OF HAZARDS - The IP was unaware of the hazards associated with the work he was performing. The IP did not adhere to manufacturer recommendations while working on the control valve and the PIC and IP did not ensure the gas line was free of pressure before starting work.,3,Management Systems,6,high,3,"The IP was unaware of the hazards associated with the work, indicating that hazard identification and risk assessment for this task was not adequately performed or communicated before work commenced."
GI-47-20250425-1330,2,COMMUNICATION: INADEQUATE COMMUNICATION BETWEEN THE OPERATOR AND CONTRACTOR PERSONNEL,9,Communication,10,high,3,"Inadequate communication between operator and contractor personnel reflects failure in management of operational interfaces, which governs coordination between different parties working on the process."
